,SUSTAGEN® Hospital Formula Vanilla,SUSTAGEN® Hospital Formula Vanilla,SUSTAGEN® Hospital Formula Vanilla,SUSTAGEN® Hospital Formula Vanilla,SUSTAGEN® Hospital Formula Vanilla,SUSTAGEN® Hospital Formula Vanilla,SUSTAGEN® Hospital Formula Vanilla,SUSTAGEN® Hospital Formula Vanilla,SUSTAGEN® Hospital Formula Vanilla,SUSTAGEN® Hospital Formula Vanilla,SUSTAGEN® Hospital Formula Vanilla,SUSTAGEN® Hospital Formula Vanilla
26,Magnesium,96.0 mg,160 mg,40 mg,30% RDI*,,,,,,,
27,Manganese,0.7 mg,1.1 mg,0.3 mg,13%ESADDI+,,,,,,,
28,Molybdenum,34 µg,56 µg,14 µg,13% EASDDI+,,,,,,,
29,Phosphorus,420 mg,700 mg,180 mg,42% RDI*,,,,,,,
30,Selenium,9.0 µg,15 µg,3.8 µg,13% RDI*,,,,,,,
31,Copper,0.3 mg,0.6 mg,0.14 mg,11% EASDDI+,,,,,,,
32,Chloride,370 mg,620 mg,160 mg,,,,,,,,
33,Potassium,660 mg,1100 mg,275 mg,,,,,,,,
34,Chromium,27.0 µg,45 µg,11 µg,14% ESADDI+,,,,,,,
35,,,,,,,,,,,,
36,**Percentage Daily Intakes are based on an average adult diet of 8700kJ. Your daily intakes may be higher or lower depending on your energy needs. *Recommended Dietary Intake(Aust/NZ) +ESADDI - Estimated Safe and Adequate Daily Dietary Intake,**Percentage Daily Intakes are based on an average adult diet of 8700kJ. Your daily intakes may be higher or lower depending on your energy needs. *Recommended Dietary Intake(Aust/NZ) +ESADDI - Estimated Safe and Adequate Daily Dietary Intake,**Percentage Daily Intakes are based on an average adult diet of 8700kJ. Your daily intakes may be higher or lower depending on your energy needs. *Recommended Dietary Intake(Aust/NZ) +ESADDI - Estimated Safe and Adequate Daily Dietary Intake,**Percentage Daily Intakes are based on an average adult diet of 8700kJ. Your daily intakes may be higher or lower depending on your energy needs. *Recommended Dietary Intake(Aust/NZ) +ESADDI - Estimated Safe and Adequate Daily Dietary Intake,**Percentage Daily Intakes are based on an average adult diet of 8700kJ. Your daily intakes may be higher or lower depending on your energy needs. *Recommended Dietary Intake(Aust/NZ) +ESADDI - Estimated Safe and Adequate Daily Dietary Intake,**Percentage Daily Intakes are based on an average adult diet of 8700kJ. Your daily intakes may be higher or lower depending on your energy needs. *Recommended Dietary Intake(Aust/NZ) +ESADDI - Estimated Safe and Adequate Daily Dietary Intake,**Percentage Daily Intakes are based on an average adult diet of 8700kJ. Your daily intakes may be higher or lower depending on your energy needs. *Recommended Dietary Intake(Aust/NZ) +ESADDI - Estimated Safe and Adequate Daily Dietary Intake,**Percentage Daily Intakes are based on an average adult diet of 8700kJ. Your daily intakes may be higher or lower depending on your energy needs. *Recommended Dietary Intake(Aust/NZ) +ESADDI - Estimated Safe and Adequate Daily Dietary Intake,**Percentage Daily Intakes are based on an average adult diet of 8700kJ. Your daily intakes may be higher or lower depending on your energy needs. *Recommended Dietary Intake(Aust/NZ) +ESADDI - Estimated Safe and Adequate Daily Dietary Intake,**Percentage Daily Intakes are based on an average adult diet of 8700kJ. Your daily intakes may be higher or lower depending on your energy needs. *Recommended Dietary Intake(Aust/NZ) +ESADDI - Estimated Safe and Adequate Daily Dietary Intake,**Percentage Daily Intakes are based on an average adult diet of 8700kJ. Your daily intakes may be higher or lower depending on your energy needs. *Recommended Dietary Intake(Aust/NZ) +ESADDI - Estimated Safe and Adequate Daily Dietary Intake,**Percentage Daily Intakes are based on an average adult diet of 8700kJ. Your daily intakes may be higher or lower depending on your energy needs. *Recommended Dietary Intake(Aust/NZ) +ESADDI - Estimated Safe and Adequate Daily Dietary Intake
37,**Percentage Daily Intakes are based on an average adult diet of 8700kJ. Your daily intakes may be higher or lower depending on your energy needs.,,,,,,,,,,,
38,*Recommended Dietary Intake(Aust/NZ),,,,,,,,,,,
39,+ESADDI - Estimated Safe and Adequate Daily Dietary Intake,,,,,,,,,,,
