name,price,availability,item_type,description,product_format,number_in_case,product_weight_numeric,product_weight_metric
Similac Soy Isomil Infant Formula Ready-to-Feed,$51.99,BACKORDER,SKU#:56308,"Soy-based formula for infants who need cow's milk-free nutrition. Similac Soy Isomil features OptiGRO™, an exclusive blend of brain & eye nourishing nutrients for baby’s development.
• Lactose-free; suitable for infants with galactosemia
• Easy to digest
• Suitable for infants and children of vegetarian families
• Features OptiGRO, an exclusive blend of important ingredients found in breast milk: DHA, Lutein, and Vitamin E
Soy formulas are not recommended for premature infants with birth weights less than 1800 g
 
SKU # 56308
",bottle, Case of 48                ,2,oz
Similac For Supplementation Infant Formula Ready-to-Feed,$65.88,In stock,SKU#:67440,"Similac for Supplementation formula for breastfeeding moms who choose to introduce formula. A nutritionally complete, milk-based, iron-fortified, non-GMO* formula.
• Helps provide a gentle introduction to formula
• Complete nutrition for your baby’s first year
• Features OptiGRO™, our exclusive blend of important ingredients found in breast milk: DHA, lutein, and vitamin E

* ingredients not genetically engineered
",bottle, Case of 48                ,2,oz
Similac Alimentum Infant Formula Powder,$43.49,In stock,SKU#:64719e,"New Value Size makes 12 more 4 fl oz bottles*
Similac Alimentum is a nutritionally complete, hypoallergenic formula for infants with severe food allergies, including those with colic symptoms due to protein sensitivity  
Contains a predigested milk protein that is broken down into tiny pieces to virtually eliminate allergic reactions in most babies who are allergic to cow’s milk protein
Starts reducing excessive crying due to cow’s milk protein sensitivity in most infants within 24 hours** (**based on a clinical study with Similac Alimentum Ready-to-Feed without DHA/ARA in a small group of infants experiencing colic symptoms due to cow’s milk protein sensitivity. Data on File, Study
Includes DHA and ARA, special nutrients found in breast milk that are important for helping support brain and eye development

Similac Alimentum is a nutritionally complete, hypoallergenic formula for infants with severe food allergies, including those with colic symptoms due to protein sensitivity. Alimentum contains a predigested milk protein that is broken down into tiny pieces to virtually eliminate allergic reactions in most babies who are allergic to cow’s milk protein.
Now in a new value size that has over 60% more!***
*As compared to Alimentum 12.1 oz powder
***63% more product as compared to Alimentum 12.1 oz powder
",can,,19.8,oz
Similac For Spit-Up Infant Formula Ready-To-Feed,$57.49,In stock,SKU#:62139,"Help your baby spit-up less frequently with easy-to-digest Similac For Spit-Up. Clinically shown to reduce the frequency of spit-up by 54%*. Similac For Spit-Up also has OptiGRO™ a unique blend of DHA, Lutein, and vitamin E that supports the developing eyes and brain.
• Easy-to-digest formula with added rice starch
Not for infants or children with galactosemia.
*Among healthy 2-month-old infants when compared with standard formula.
 
SKU # 62139
",bottle, Case of 48                ,2,oz
Similac Pro-Total Comfort Infant Formula Powder,$41.49,In stock,SKU#:66937e,"LESS FUSSINESS & CRYING: Parents reported a significant reduction in fussiness, gassiness, and crying after just 1 day of feeding (After switching to Similac Pro-Total Comfort)
IMMUNE SUPPORT: Has 2’-FL HMO, a unique prebiotic like that found in breast milk. Supports baby’s developing immune system and closes multiple gaps in immune function between formula-fed and breastfed infants
TRUSTED FORMULA: Similac is the #1 brand chosen by moms§ (§Total US infant formula, all outlets as of 3/31/2018, Nielsen data)
BRAIN & EYE DEVELOPMENT: Our exclusive blend of DHA, Lutein, and Vitamin E – nutrients also found in breast milk – helps support baby’s overall growth and brain and eye development. Not for infants with galactosemia.



Similac Pro-Total Comfort is a gentle formula with partially hydrolyzed protein and 2’-FL HMO, an immune-nourishing prebiotic like that found in breast milk. Parents reported† a significant reduction in fussiness, gassiness, and crying after just 1 day, and the improvement was maintained. Our exclusive blend of DHA, Lutein, and Vitamin E is important for helping support baby’s brain and eye development. You can trust Similac, the #1 brand chosen by moms.§
†After switching to Similac Pro-Total Comfort
§Total US infant formula, all outlets as of 3/31/2018, Nielson data

",can,,29.8,oz
Go & Grow by Similac Milk-Based Toddler Drink Powder,$63.50,In stock,SKU#:66838,"TRUSTED FORMULA: Similac is the #1 brand chosen by moms§ (§ Total US infant formula, all outlets as of 3/31/2018, Nielsen data)
Features OptiGRO, our exclusive blend of DHA, Lutein, and Vitamin E; Nutrition beyond DHA alone
Designed to support brain, eye, and physical development
Complement to toddler nutrition
Similac is the first infant formula brand with no artificial growth hormone† († No significant difference has been shown between milk derived from rbST-treated and non-rbST-treated cows.)


Go & Grow by Similac, For Helping Balance Toddler's Diet. Now that your baby is growing bigger and eating more table food, it can be hard to tell if she is getting the nutrition she needs. Go & Grow by Similac has over 25 essential vitamins and minerals to support growth and development.
    
SKU # 66838
",can, Case of 3                ,2.25,lb
Similac Pro-Sensitive Infant Formula Powder,$33.99,In stock,SKU#:66084e,"Similac Pro-Sensitive is the first infant formula for sensitive tummies with 2-FL Human Milk Oligosaccharide* (HMO), an immune nourishing prebiotic previously only found† in breast milk.
• Similac with 2-FL Human Milk Oligosaccharide helps support baby’s developing immune system by closing multiple gaps in immune function‡ between formula-fed and breastfed infants.
• Unlike other formulas, Similac has 2-FL HMO, a prebiotic that circulates throughout the body
• All ingredients are carefully selected to meet our high standards and are Non-GMO§
• From Birth – 12 months; Complete nutrition for your baby’s first year
• Features OptiGRO™, an exclusive blend of DHA, Lutein, and Vitamin E - important ingredients found in breast milk

*Not from human milk
†At significant levels
‡As measured in blood samples in a clinical study
§Ingredients not genetically engineered
",container,,1.41,lb
Similac Pro-Total Comfort Infant Formula Powder,$33.99,In stock,SKU#:66939e,"LESS FUSSINESS & CRYING: Parents reported a significant reduction in fussiness, gassiness, and crying after just 1 day of feeding (After switching to Similac Pro-Total Comfort)
IMMUNE SUPPORT: Has 2’-FL HMO, a unique prebiotic like that found in breast milk. Supports baby’s developing immune system and closes multiple gaps in immune function between formula-fed and breastfed infants
TRUSTED FORMULA: Similac is the #1 brand chosen by moms§ (§Total US infant formula, all outlets as of 3/31/2018, Nielsen data)
BRAIN & EYE DEVELOPMENT: Our exclusive blend of DHA, Lutein, and Vitamin E – nutrients also found in breast milk – helps support baby’s overall growth and brain and eye development. Not for infants with galactosemia.

Similac Pro-Total Comfort is a gentle formula with partially hydrolyzed protein and 2’-FL HMO, an immune-nourishing prebiotic like that found in breast milk. Parents reported† a significant reduction in fussiness, gassiness, and crying after just 1 day, and the improvement was maintained. Our exclusive blend of DHA, Lutein, and Vitamin E is important for helping support baby’s brain and eye development. You can trust Similac, the #1 brand chosen by moms.§
†After switching to Similac Pro-Total Comfort
§Total US infant formula, all outlets as of 3/31/2018, Nielson data
",container,,22.5,oz
Similac Sensitive for Neuro Support NON-GMO Infant Formula  Powder,$29.99,In stock,SKU#:64246e,"FOR LACTOSE SENSITIVITY: A gentle formula designed to ease baby’s fussiness and gas due to lactose sensitivity. Not for infants or children with galactosemia
NEURO SUPPORT: Has our exclusive blend of DHA, Lutein, and Vitamin E to help support brain & eye development
TRUSTED FORMULA: Similac—the #1 infant formula brand and the #1 brand chosen by moms*
NO ARTIFICIAL GROWTH HORMONES: Similac is the first leading infant formula brand with no artificial growth hormones†
NON-GMO‡: Similac Sensitive for Neuro Support has ingredients that are not genetically engineered

Similac Sensitive for Neuro Support is an easy-to-digest, milk-based formula specially designed for sensitive tummies. It’s complete nutrition for baby’s first year and has our exclusive blend of DHA, Lutein, and Vitamin E to help support your baby’s brain & eye development. All from the brand trusted by moms for more than 90 years. Similac Sensitive is non-GMO‡ and has no artificial growth hormones.†
* Total US infant formula, all outlets as of 12/2018, Nielsen data.
† No significant difference has been shown between milk derived from rbST-treated and non-rbST-treated cows.
‡ Ingredients not genetically engineered.
",container,,1.41,lb
Similac Pro-Advance Infant Formula Powder,$165.99,In stock,SKU#:66439,"Similac Pro-Advance is the first infant formula with 2’-FL Human Milk Oligosaccharide* (HMO), designed to be closer than ever to breast milk.
• Similac with 2'-FL HMO helps support baby’s developing immune system by closing multiple gaps in immune function† between formula-fed and breastfed infants
• Unlike other formulas, Similac has 2’-FL HMO, a prebiotic that circulates throughout the body
• All ingredients are carefully selected to meet our high standards and are NON-GMO‡
• From Birth – 12 months; complete nutrition for your baby’s first year
• Features OptiGRO™, an exclusive blend of DHA, Lutein, and Vitamin E - important ingredients found in breast milk
*Not from human milk
†As measured in blood samples in a clinical study
‡Ingredients not genetically engineered
",can, Case of 4                ,30.8,oz
Similac Pro-Sensitive Infant Formula Powder,$41.49,In stock,SKU#:66441e,"Similac Pro-Sensitive is the first infant formula for sensitive tummies with 2'-FL Human Milk Oligosaccharide* (HMO), an immune nourishing prebiotic previously only found† in breast milk.
• Similac with 2'-FL HMO helps support baby’s developing immune system by closing multiple gaps in immune function‡ between formula-fed and breastfed infants
• Unlike other formulas, Similac has 2-FL HMO, a prebiotic that circulates throughout the body
• All ingredients are carefully selected to meet our high standards and are Non-GMO**
• From Birth – 12 months; Complete nutrition for your baby’s first year
• Features OptiGRO™, our exclusive blend of DHA, Lutein, and Vitamin E - important ingredients found in breast milk
*Not from human milk
†At significant levels
‡As measured in blood samples in a clinical study
**Ingredients not genetically engineered
",can,,29.8,oz
Pure Bliss by Similac Infant Formula Powder ,$34.49,BACKORDER,SKU#:67317e,"MODELED AFTER BREAST MILK: Pure Bliss by Similac is thoughtfully crafted nutrition modeled after breast milk
NO COMPROMISE: With NO artificial growth hormones,* antibiotics, or palm olein oil, and it’s non-GMO†
FOR BRAIN & EYE DEVELOPMENT: Pure Bliss has DHA and ARA, key nutrients to support brain & eye development
FROM THE MAKERS OF SIMILAC: Thoughtfully crafted nutrition that starts with fresh milk from grass-fed cows
MAKES 47 (4-FL-OZ) BOTTLES: One 24.7-oz can of Pure Bliss by Similac makes approximately 47 (4-fl-oz) bottles

Pure Bliss by Similac Infant Formula with Iron is modeled after breast milk and carefully crafted to nourish your baby for the first 12 months of life. Our formula starts with fresh milk from grass-fed cows and has no artificial growth hormones* or antibiotics, and it’s non-GMO.† Pure Bliss has DHA and ARA, nutrients like those found in breast milk that support brain and eye development. It’s thoughtfully crafted nutrition from the brand trusted by moms for over 90 years. One 24.7-oz can of Pure Bliss by Similac makes approximately 47 (4-fl-oz) bottles.
* No significant difference has been shown between milk derived from rbST-treated and non-rbST-treated cows.
† Ingredients not genetically engineered.
",can,,24.7,oz
Go & Grow by Similac NON-GMO Milk-Based Toddler Drink Powder With 2'-FL HMO,$87.92,In stock,SKU#:67151,"TODDLER DRINK: A non-GMO,* milk-based toddler drink that helps balance your toddler’s (12-36 months) diet while you introduce new foods (*Ingredients not genetically engineered.) 


IMMUNITY: Go & Grow by Similac with HMO is the first and only toddler drink with 2’-FL human milk oligosaccharide,† an immune-nourishing prebiotic (†Not from human milk.) 


BRAIN & EYE: DHA, Lutein, and Vitamin E are important nutrients for toddler brain and eye development that are found in foods kids often don’t eat—like fish, spinach, and broccoli 


1 CUP PER DAY: Just 1 sippy cup‡ provides key nutrients your toddler needs—like iron, Vitamins C & E, and DHA, that milk alone can’t provide (‡1 sippy cup refers to 8 fl oz.) 


PREBIOTICS: Supports digestive health as you introduce new foods. Also non-GMO* and made with no artificial growth hormones§ (*Ingredients not genetically engineered.) (§No significant difference has been shown between milk derived from rbST treated and non-rbST treated cows.) 

Go & Grow by Similac with HMO is the first and only toddler drink with 2’-FL human milk oligosaccharide,† an immune-nourishing prebiotic. It’s also non-GMO* and the first leading toddler drink with no artificial growth hormones.§ It has key nutrients, including DHA, Lutein, and Vitamin E for brain and eye development. Go & Grow by Similac with HMO complements your toddler’s diet as you introduce new foods. Just add water! 
*Ingredients not genetically engineered.
†Not from human milk.
§No significant difference has been shown between milk derived from rbST-treated and non-rbST-treated cows.
",can, Case of 4                ,1.5,lb
Go & Grow by Similac NON-GMO Milk-Based Toddler Drink Powder With 2'-FL HMO ,$21.98,In stock,SKU#:67151e,"TODDLER DRINK: A non-GMO,* milk-based toddler drink that helps balance your toddler’s (12-36 months) diet while you introduce new foods (*Ingredients not genetically engineered.) 


IMMUNITY: Go & Grow by Similac with HMO is the first and only toddler drink with 2’-FL human milk oligosaccharide,† an immune-nourishing prebiotic (†Not from human milk.) 


BRAIN & EYE: DHA, Lutein, and Vitamin E are important nutrients for toddler brain and eye development that are found in foods kids often don’t eat—like fish, spinach, and broccoli 


1 CUP PER DAY: Just 1 sippy cup‡ provides key nutrients your toddler needs—like iron, Vitamins C & E, and DHA, that milk alone can’t provide (‡1 sippy cup refers to 8 fl oz.) 


PREBIOTICS: Supports digestive health as you introduce new foods. Also non-GMO* and made with no artificial growth hormones§ (*Ingredients not genetically engineered.) (§No significant difference has been shown between milk derived from rbST treated and non-rbST treated cows.) 

Go & Grow by Similac with HMO is the first and only toddler drink with 2’-FL human milk oligosaccharide,† an immune-nourishing prebiotic. It’s also non-GMO* and the first leading toddler drink with no artificial growth hormones.§ It has key nutrients, including DHA, Lutein, and Vitamin E for brain and eye development. Go & Grow by Similac with HMO complements your toddler’s diet as you introduce new foods. Just add water! 
*Ingredients not genetically engineered.
†Not from human milk.
§No significant difference has been shown between milk derived from rbST-treated and non-rbST-treated cows.
",can,,1.5,lb
Go & Grow by Similac Milk-Based Toddler Drink Powder,$75.96,In stock,SKU#:67010,"TRUSTED FORMULA: Similac is the #1 brand chosen by moms§ (§Total US infant formula, all outlets as of 3/31/2018, Nielsen data)
Features OptiGRO, our exclusive blend of DHA, Lutein, and Vitamin E; Nutrition beyond DHA alone
Designed to support brain, eye, and physical development
Complement to toddler nutrition
Similac is the first infant formula brand with no artificial growth hormone† (†no significant difference has been shown between milk derived from rbST-treated and non-rbST-treated cows).


Go & Grow by Similac, For Helping Balance Toddler's Diet. Now that your baby is growing bigger and eating more table food, it can be hard to tell if she is getting the nutrition she needs. Go & Grow by Similac has over 25 essential vitamins and minerals to support growth and development.
",can, Case of 4                ,1.5,lb
Go & Grow by Similac Milk-Based Toddler Drink Powder,$18.99,In stock,SKU#:67010e,"TRUSTED FORMULA: Similac is the #1 brand chosen by moms§ (§Total US infant formula, all outlets as of 3/31/2018, Nielsen data)
Features OptiGRO, our exclusive blend of DHA, Lutein, and Vitamin E; Nutrition beyond DHA alone
Designed to support brain, eye, and physical development
Complement to toddler nutrition
Similac is the first infant formula brand with no artificial growth hormone† (†no significant difference has been shown between milk derived from rbST-treated and non-rbST-treated cows).


Go & Grow by Similac, For Helping Balance Toddler's Diet. Now that your baby is growing bigger and eating more table food, it can be hard to tell if she is getting the nutrition she needs. Go & Grow by Similac has over 25 essential vitamins and minerals to support growth and development.
",can,,1.5,lb
Pure Bliss by Similac Toddler Drink Powder,$29.88,In stock,SKU#:67319e,"WITH PROBIOTICS: Pure Bliss by Similac Toddler Drink is thoughtfully crafted nutrition with probiotics for digestive health
NO COMPROMISE: With NO artificial growth hormones,* antibiotics, or palm olein oil, and it’s non-GMO†
FOR BRAIN DEVELOPMENT: Pure Bliss has DHA, a key nutrient to support brain development
FROM THE MAKERS OF SIMILAC: Thoughtfully crafted nutrition that starts with fresh milk from grass-fed cows
MAKES 17 (8-FL-OZ) SERVINGS: One 24.7-oz can of Pure Bliss by Similac Toddler Drink makes approximately 17 (8-fl-oz) servings

Pure Bliss by Similac Toddler Drink is thoughtfully crafted nutrition for your toddler that provides probiotics for digestive health. Pure Bliss starts with fresh milk from grass-fed cows and has no artificial growth hormones* or antibiotics, and it’s non-GMO.† Pure Bliss has DHA to support brain development. It’s thoughtfully crafted nutrition from the brand trusted by moms for over 90 years. One 24.7-oz can of Pure Bliss Toddler Drink makes approximately 17 (8-fl-oz) servings.
* No significant difference has been shown between milk derived from rbST-treated and non-rbST-treated cows.
† Ingredients not genetically engineered.
",can,,24.7,oz
Pure Bliss by Similac Toddler Drink Powder,$119.56,In stock,SKU#:67319,"WITH PROBIOTICS: Pure Bliss by Similac Toddler Drink is thoughtfully crafted nutrition with probiotics for digestive health
NO COMPROMISE: With NO artificial growth hormones,* antibiotics, or palm olein oil, and it’s non-GMO†
FOR BRAIN DEVELOPMENT: Pure Bliss has DHA, a key nutrient to support brain development
FROM THE MAKERS OF SIMILAC: Thoughtfully crafted nutrition that starts with fresh milk from grass-fed cows

Pure Bliss by Similac Toddler Drink is thoughtfully crafted nutrition for your toddler that provides probiotics for digestive health. Pure Bliss starts with fresh milk from grass-fed cows and has no artificial growth hormones* or antibiotics, and it’s non-GMO.† Pure Bliss has DHA to support brain development. It’s thoughtfully crafted nutrition from the brand trusted by moms for over 90 years. 
* No significant difference has been shown between milk derived from rbST-treated and non-rbST-treated cows.
† Ingredients not genetically engineered.

SKU 67319
",can, Case of 4                ,24.7,oz
Pure Bliss by Similac Infant Formula Powder ,$137.96,BACKORDER,SKU#:67317,"MODELED AFTER BREAST MILK: Pure Bliss by Similac is thoughtfully crafted nutrition modeled after breast milk
NO COMPROMISE: With NO artificial growth hormones,* antibiotics, or palm olein oil, and it’s non-GMO†
FOR BRAIN & EYE DEVELOPMENT: Pure Bliss has DHA and ARA, key nutrients to support brain & eye development
FROM THE MAKERS OF SIMILAC: Thoughtfully crafted nutrition that starts with fresh milk from grass-fed cows 

Pure Bliss by Similac Infant Formula with Iron is modeled after breast milk and carefully crafted to nourish your baby for the first 12 months of life. Our formula starts with fresh milk from grass-fed cows and has no artificial growth hormones* or antibiotics, and it’s non-GMO.† Pure Bliss has DHA and ARA, nutrients like those found in breast milk that support brain and eye development. It’s thoughtfully crafted nutrition from the brand trusted by moms for over 90 years. 
* No significant difference has been shown between milk derived from rbST-treated and non-rbST-treated cows.
† Ingredients not genetically engineered.
",can, Case of 4                ,24.7,oz
Similac NeoSure Infant Formula Powder,$130.98,BACKORDER,SKU#:66923,"A 22 Cal/fl oz, nutrient-enriched* formula for babies who were born prematurely.  Similac NeoSure is clinically shown to promote excellent catch-up growth during the first year.1 

Has increased protein, vitamins, and minerals compared to term infant formula
Has increased calories for growth
Calcium and phosphorus for baby’s growing bones
Features OptiGRO, our exclusive blend of important ingredients found in breast milk:  DHA, Lutein, and Vitamin E
Easy-to-digest, milk-based formula

* Increased protein, vitamins, and minerals compared to term infant formula.
1 Carver JD, et al. Pediatrics. 2001;107:683-689.
",can, Case of 4                ,22.8,oz
Similac Soy Isomil Infant Formula Ready-to-Feed,$38.32,In stock,SKU#:67012,"Soy Based formula for infants who need cow's milk-free nutrition. Similac Soy Isomil features OptiGRO™, an exclusive blend of brain & eye nourishing nutrients for baby’s development.
• Lactose-free; suitable for infants with galactosemia
• Easy to digest
• Suitable for infants and children of vegetarian families
• Features OptiGRO, an exclusive blend of important ingredients found in breast milk: DHA, Lutein, and Vitamin E
Soy formulas are not recommended for premature infants with birth weights less than 1800 g
",bottle, Case of 4                ,1,QT
Similac Pro-Total Comfort Infant Formula Powder,$165.99,In stock,SKU#:66937,"LESS FUSSINESS & CRYING: Parents reported a significant reduction in fussiness, gassiness, and crying after just 1 day of feeding (After switching to Similac Pro-Total Comfort)
IMMUNE SUPPORT: Has 2’-FL HMO, a unique prebiotic like that found in breast milk. Supports baby’s developing immune system and closes multiple gaps in immune function between formula-fed and breastfed infants
TRUSTED FORMULA: Similac is the #1 brand chosen by moms§ (§Total US infant formula, all outlets as of 3/31/2018, Nielsen data)
BRAIN & EYE DEVELOPMENT: Our exclusive blend of DHA, Lutein, and Vitamin E – nutrients also found in breast milk – helps support baby’s overall growth and brain and eye development. Not for infants with galactosemia.

Similac Pro-Total Comfort is a gentle formula with partially hydrolyzed protein and 2’-FL HMO, an immune-nourishing prebiotic like that found in breast milk. Parents reported† a significant reduction in fussiness, gassiness, and crying after just 1 day, and the improvement was maintained. Our exclusive blend of DHA, Lutein, and Vitamin E is important for helping support baby’s brain and eye development. You can trust Similac, the #1 brand chosen by moms.§
†After switching to Similac Pro-Total Comfort
§Total US infant formula, all outlets as of 3/31/2018, Nielson data
",can, Case of 4                ,29.8,oz
Similac Special Care 24 ,$83.99,In stock,SKU#:67446,"Use as directed by a physician. A 24 Cal/fl oz iron-fortified feeding for growing, low-birth-weight infants and premature infants.
Features:
OptiGRO™ is our exclusive blend of DHA, lutein and vitamin E: these important ingredients are found in breastmilk.

DHA for brain development
Lutein to support eye health
Vitamin E, an important nutrient found in breast milk to support developing cells
Not intended for feeding low-birth-weight infants after they reach a weight of 3600 g (approximately 8 lb) or as directed by a physician 

Does not include nipples or rings. 
",bottle, Case of 48                ,2,oz
Similac For Supplementation NON-GMO Infant Formula Powder,$31.49,In stock,SKU#:63013e,"Similac for Supplementation Non-GMO* formula for breastfeeding moms who choose to introduce formula. Has all the benefits of Similac Advance as well as approximately 10% more prebiotics than Similac Advance formula.
• Helps provide a gentle introduction to formula
• Complete nutrition for your baby’s first year
• Features OptiGRO™, our exclusive blend of important ingredients found in breast milk: DHA, Lutein, and Vitamin E

* Ingredients not genetically engineered
",container,,1.45,lb
Similac Pro-Total Comfort Infant Formula Powder,$134.99,In stock,SKU#:66939,"LESS FUSSINESS & CRYING: Parents reported a significant reduction in fussiness, gassiness, and crying after just 1 day of feeding (After switching to Similac Pro-Total Comfort)
IMMUNE SUPPORT: Has 2’-FL HMO, a unique prebiotic like that found in breast milk. Supports baby’s developing immune system and closes multiple gaps in immune function between formula-fed and breastfed infants
TRUSTED FORMULA: Similac is the #1 brand chosen by moms§ (§Total US infant formula, all outlets as of 3/31/2018, Nielsen data)
BRAIN & EYE DEVELOPMENT: Our exclusive blend of DHA, Lutein, and Vitamin E – nutrients also found in breast milk – helps support baby’s overall growth and brain and eye development. Not for infants with galactosemia.

Similac Pro-Total Comfort is a gentle formula with partially hydrolyzed protein and 2’-FL HMO, an immune-nourishing prebiotic like that found in breast milk. Parents reported† a significant reduction in fussiness, gassiness, and crying after just 1 day, and the improvement was maintained. Our exclusive blend of DHA, Lutein, and Vitamin E is important for helping support baby’s brain and eye development. You can trust Similac, the #1 brand chosen by moms.§
†After switching to Similac Pro-Total Comfort
§Total US infant formula, all outlets as of 3/31/2018, Nielson data
",container, Case of 4                ,22.5,oz
Similac Alimentum Infant Formula Powder,$29.49,In stock,SKU#:64715e,"A nutritionally complete, hypoallergenic formula for infants, including those with colic symptoms due to protein sensitivity. Similac Alimentum starts reducing colic symptoms due to protein sensitivity within 24 hours in most infants.*
*Based on a clinical study with Similac Alimentum Ready to Feed without DHA and ARA in a small group of infants experiencing colic symptoms due to cow’s milk protein sensitivity. Data on File, Study AC84, August 2004. Abbott Nutrition, Columbus, Ohio.
",can,,12.1,oz
