item_id,vitamin,measure,value,perc_daily_recom,vit
5372976e,, mcg , 8,,Vitamin K
5372976e,, mcg , 100,,Thiamin (Vitamin B1)
5372976e,, mcg , 160,,Riboflavin (Vitamin B2)
5372976e,, mcg , 63,,Vitamin B6
5372976e,, mcg , 0.26,,Vitamin B12
5372976e,, mcg , 1100,,Niacin
5372976e,, mcg , 16,,Folic Acid (Folacin)
5372976e,, mcg , 470,,Pantothenic Acid
5372976e,, mcg , 4.6,,Biotin
5372976e,, mg , 9,,Vitamin C (Ascorbic Acid)
5372976e,, mg , 24,,Choline
5372976e,, mg , 4.5,,Inositol
5372976e,, IU , 300,,Vitamin A
5372976e,, IU , 60,,Vitamin D
5081978e,, IU , 1.5,,Vitamin E
5081978e,, mcg , 11,,Vitamin K
5081978e,, mcg , 63,,Thiamin (Vitamin B1)
5081978e,, mcg , 95,,Riboflavin (Vitamin B2)
5081978e,, mcg , 63,,Vitamin B6
5081978e,, mcg , 0.47,,Vitamin B12
5081978e,, mcg , 1400,,Niacin
5081978e,, mcg , 16,,Folic Acid (Folacin)
5081978e,, mcg , 780,,Pantothenic Acid
5081978e,, mcg , 4.7,,Biotin
5081978e,, mg , 9,,Vitamin C (Ascorbic Acid)
5081978e,, mg , 24,,Choline
5081978e,, mg , 5,,Inositol
5081978e,, IU , 300,,Vitamin A
5081978e,, IU , 60,,Vitamin D
00850e,, IU , 300,,Vitamin A
00850e,, IU , 60,,Vitamin D
00850e,, IU , 1.5,,Vitamin E
00850e,, mcg , 8,,Vitamin K
00850e,, mcg , 100,,Thiamin (Vitamin B1)
00850e,, mcg , 150,,Riboflavin (Vitamin B2)
00850e,, mcg , 60,,Vitamin B6
00850e,, mcg , 0.3,,Vitamin B12
00850e,, mcg , 1050,,Niacin
00850e,, mcg , 15,,Folic Acid (Folacin)
00850e,, mcg , 450,,Pantothenic Acid
00850e,, mcg , 5,,Biotin
00850e,, mg , 9,,Vitamin C (Ascorbic Acid)
00850e,, mg , 12,,Choline
00850e,, mg , 24,,Inositol
5082178e,, IU , 1.5,,Vitamin E
5082178e,, mcg , 8,,Vitamin K
5082178e,, mcg , 100,,Thiamin (Vitamin B1)
5082178e,, mcg , 150,,Riboflavin (Vitamin B2)
5082178e,, mcg , 60,,Vitamin B6
5082178e,, mcg , 0.25,,Vitamin B12
5082178e,, mcg , 1050,,Niacin
5082178e,, mcg , 15,,Folic Acid (Folacin)
5082178e,, mcg , 450,,Pantothenic Acid
5082178e,, mcg , 4.4,,Biotin
5082178e,, mg , 9,,Vitamin C (Ascorbic Acid)
5082178e,, mg , 16,,Choline
5082178e,, mg , 4.7,,Inositol
5082178e,, IU , 300,,Vitamin A
5082178e,, IU , 60,,Vitamin D
62599,, IU , 1.5,,Vitamin E
62599,, mcg , 8,,Vitamin K
62599,, mcg , 100,,Thiamin (Vitamin B1)
62599,, mcg , 160,,Riboflavin (Vitamin B2)
62599,, mcg , 63,,Vitamin B6
62599,, mcg , 0.26,,Vitamin B12
62599,, mcg , 1100,,Niacin
62599,, mcg , 16,,Folic Acid (Folacin)
62599,, mcg , 470,,Pantothenic Acid
62599,, mcg , 4.6,,Biotin
62599,, mg , 9,,Vitamin C (Ascorbic Acid)
62599,, mg , 24,,Choline
62599,, mg , 4.5,,Inositol
62599,, IU , 300,,Vitamin A
62599,, IU , 60,,Vitamin D
54598p50,, mcg , 2.1,,Vitamin K
54598p50,, mcg , 58,,Thiamin (Vitamin B1)
54598p50,, mcg , 104,,Riboflavin (Vitamin B2)
54598p50,, mcg , 53,,Vitamin B6
54598p50,, mcg , 0.16,,Vitamin B12
54598p50,, mcg , 893,,Niacin
54598p50,, mcg , 5.75,,Folic Acid (Folacin)
54598p50,, mcg , 375,,Pantothenic Acid
54598p50,, mcg , 6.5,,Biotin
54598p50,, mg , 6.3,,Vitamin C (Ascorbic Acid)
54598p50,, mg , 0.5,,Choline
54598p50,, mg , 1,,Inositol
54598p50,, IU , 155,,Vitamin A
54598p50,, IU , 30,,Vitamin D
54598p50,, IU , 0.8,,Vitamin E
5081978,, IU , 1.5,,Vitamin E
5081978,, mcg , 11,,Vitamin K
5081978,, mcg , 63,,Thiamin (Vitamin B1)
5081978,, mcg , 95,,Riboflavin (Vitamin B2)
5081978,, mcg , 63,,Vitamin B6
5081978,, mcg , 0.47,,Vitamin B12
5081978,, mcg , 1400,,Niacin
5081978,, mcg , 16,,Folic Acid (Folacin)
5081978,, mcg , 780,,Pantothenic Acid
5081978,, mcg , 4.7,,Biotin
5081978,, mg , 9,,Vitamin C (Ascorbic Acid)
5081978,, mg , 24,,Choline
5081978,, mg , 5,,Inositol
5081978,, IU , 300,,Vitamin A
5081978,, IU , 60,,Vitamin D
5596378,, IU , 1.5,,Vitamin E
5596378,, mcg , 11,,Vitamin K
5596378,, mcg , 60,,Thiamin (Vitamin B1)
5596378,, mcg , 90,,Riboflavin (Vitamin B2)
5596378,, mcg , 60,,Vitamin B6
5596378,, mcg , 0.45,,Vitamin B12
5596378,, mcg , 1350,,Niacin
5596378,, mcg , 15,,Folic Acid (Folacin)
5596378,, mcg , 750,,Pantothenic Acid
5596378,, mcg , 4.5,,Biotin
5596378,, mg , 9,,Vitamin C (Ascorbic Acid)
5596378,, mg , 12,,Choline
5596378,, mg , 5,,Inositol
5596378,, IU , 300,,Vitamin A
5596378,, IU , 60,,Vitamin D
56271,, IU , 1250,,Vitamin A
56271,, IU , 150,,Vitamin D
56271,, IU , 4.0,,Vitamin E
56271,, mcg , 12,,Vitamin K
56271,, mcg , 250,,Thiamin (Vitamin B1)
56271,, mcg , 620,,Riboflavin (Vitamin B2)
56271,, mcg , 250,,Vitamin B6
56271,, mcg , 0.55,,Vitamin B12
56271,, mcg , 5000,,Niacin
56271,, mcg , 37,,Folic Acid (Folacin)
56271,, mcg , 1900,,Pantothenic Acid
56271,, mcg , 37,,Biotin
56271,, mg , 37,,Vitamin C (Ascorbic Acid)
56271,, mg , 10,,Choline
56271,, mg , 40,,Inositol
56265,, IU , 1250,,Vitamin A
56265,, IU , 150,,Vitamin D
56265,, IU , 4.0,,Vitamin E
56265,, mcg , 12,,Vitamin K
56265,, mcg , 250,,Thiamin (Vitamin B1)
56265,, mcg , 620,,Riboflavin (Vitamin B2)
56265,, mcg , 250,,Vitamin B6
56265,, mcg , 0.55,,Vitamin B12
56265,, mcg , 5000,,Niacin
56265,, mcg , 37,,Folic Acid (Folacin)
56265,, mcg , 1900,,Pantothenic Acid
56265,, mcg , 37,,Biotin
56265,, mg , 37,,Vitamin C (Ascorbic Acid)
56265,, mg , 10,,Choline
56265,, mg , 40,,Inositol
5697578,, IU , 1.5,,Vitamin E
5697578,, mcg , 11,,Vitamin K
5697578,, mcg , 60,,Thiamin (Vitamin B1)
5697578,, mcg , 90,,Riboflavin (Vitamin B2)
5697578,, mcg , 60,,Vitamin B6
5697578,, mcg , 0.45,,Vitamin B12
5697578,, mcg , 1350,,Niacin
5697578,, mcg , 15,,Folic Acid (Folacin)
5697578,, mcg , 750,,Pantothenic Acid
5697578,, mcg , 4.5,,Biotin
5697578,, mg , 9,,Vitamin C (Ascorbic Acid)
5697578,, mg , 12,,Choline
5697578,, mg , 5,,Inositol
5697578,, IU , 300,,Vitamin A
5697578,, IU , 60,,Vitamin D
62595,, IU , 1.5,,Vitamin E
62595,, mcg , 8,,Vitamin K
62595,, mcg , 100,,Thiamin (Vitamin B1)
62595,, mcg , 160,,Riboflavin (Vitamin B2)
62595,, mcg , 63,,Vitamin B6
62595,, mcg , 0.26,,Vitamin B12
62595,, mcg , 1100,,Niacin
62595,, mcg , 16,,Folic Acid (Folacin)
62595,, mcg , 470,,Pantothenic Acid
62595,, mcg , 4.6,,Biotin
62595,, mg , 9,,Vitamin C (Ascorbic Acid)
62595,, mg , 24,,Choline
62595,, mg , 4.5,,Inositol
62595,, IU , 300,,Vitamin A
62595,, IU , 60,,Vitamin D
5367678,, IU , 1.5,,Vitamin E
5367678,, mcg , 8,,Vitamin K
5367678,, mcg , 100,,Thiamin (Vitamin B1)
5367678,, mcg , 160,,Riboflavin (Vitamin B2)
5367678,, mcg , 63,,Vitamin B6
5367678,, mcg , 0.26,,Vitamin B12
5367678,, mcg , 1100,,Niacin
5367678,, mcg , 16,,Folic Acid (Folacin)
5367678,, mcg , 470,,Pantothenic Acid
5367678,, mcg , 4.6,,Biotin
5367678,, mg , 9,,Vitamin C (Ascorbic Acid)
5367678,, mg , 24,,Choline
5367678,, mg , 4.5,,Inositol
5367678,, IU , 300,,Vitamin A
5367678,, IU , 60,,Vitamin D
5753378,, IU , 1.5,,Vitamin E
5753378,, mcg , 8,,Vitamin K
5753378,, mcg , 100,,Thiamin (Vitamin B1)
5753378,, mcg , 160,,Riboflavin (Vitamin B2)
5753378,, mcg , 63,,Vitamin B6
5753378,, mcg , 0.26,,Vitamin B12
5753378,, mcg , 1100,,Niacin
5753378,, mcg , 16,,Folic Acid (Folacin)
5753378,, mcg , 470,,Pantothenic Acid
5753378,, mcg , 4.6,,Biotin
5753378,, mg , 9,,Vitamin C (Ascorbic Acid)
5753378,, mg , 24,,Choline
5753378,, mg , 4.5,,Inositol
5753378,, IU , 300,,Vitamin A
5753378,, IU , 60,,Vitamin D
5753578,, IU , 300,,Vitamin A
5753578,, IU , 60,,Vitamin D
5753578,, IU , 3,,Vitamin E
5753578,, mcg , 8,,Vitamin K
5753578,, mcg , 100,,Thiamin (Vitamin B1)
5753578,, mcg , 150,,Riboflavin (Vitamin B2)
5753578,, mcg , 60,,Vitamin B6
5753578,, mcg , 0.25,,Vitamin B12
5753578,, mcg , 1050,,Niacin
5753578,, mcg , 15,,Folic Acid (Folacin)
5753578,, mcg , 450,,Pantothenic Acid
5753578,, mcg , 4.4,,Biotin
5753578,, mg , 9,,Vitamin C (Ascorbic Acid)
5753578,, mg , 16,,Choline
5753578,, mg , 4.3,,Inositol
54598,, mcg , 2.1,,Vitamin K
54598,, mcg , 58,,Thiamin (Vitamin B1)
54598,, mcg , 104,,Riboflavin (Vitamin B2)
54598,, mcg , 53,,Vitamin B6
54598,, mcg , 0.16,,Vitamin B12
54598,, mcg , 893,,Niacin
54598,, mcg , 5.75,,Folic Acid (Folacin)
54598,, mcg , 375,,Pantothenic Acid
54598,, mcg , 6.5,,Biotin
54598,, mg , 6.3,,Vitamin C (Ascorbic Acid)
54598,, mg , 0.5,,Choline
54598,, mg , 1,,Inositol
54598,, IU , 155,,Vitamin A
54598,, IU , 30,,Vitamin D
54598,, IU , 0.8,,Vitamin E
5372976,, IU , 1.5,,Vitamin E
5372976,, mcg , 8,,Vitamin K
5372976,, mcg , 100,,Thiamin (Vitamin B1)
5372976,, mcg , 160,,Riboflavin (Vitamin B2)
5372976,, mcg , 63,,Vitamin B6
5372976,, mcg , 0.26,,Vitamin B12
5372976,, mcg , 1100,,Niacin
5372976,, mcg , 16,,Folic Acid (Folacin)
5372976,, mcg , 470,,Pantothenic Acid
5372976,, mcg , 4.6,,Biotin
5372976,, mg , 9,,Vitamin C (Ascorbic Acid)
5372976,, mg , 24,,Choline
5372976,, mg , 4.5,,Inositol
5372976,, IU , 300,,Vitamin A
5372976,, IU , 60,,Vitamin D
5095976,, IU , 1.5,,Vitamin E
5095976,, mcg , 8,,Vitamin K
5095976,, mcg , 100,,Thiamin (Vitamin B1)
5095976,, mcg , 160,,Riboflavin (Vitamin B2)
5095976,, mcg , 63,,Vitamin B6
5095976,, mcg , 0.26,,Vitamin B12
5095976,, mcg , 1100,,Niacin
5095976,, mcg , 16,,Folic Acid (Folacin)
5095976,, mcg , 470,,Pantothenic Acid
5095976,, mcg , 4.6,,Biotin
5095976,, mg , 9,,Vitamin C (Ascorbic Acid)
5095976,, mg , 24,,Choline
5095976,, mg , 4.5,,Inositol
5095976,, IU , 300,,Vitamin A
5095976,, IU , 60,,Vitamin D
5082178,, IU , 1.5,,Vitamin E
5082178,, mcg , 8,,Vitamin K
5082178,, mcg , 100,,Thiamin (Vitamin B1)
5082178,, mcg , 150,,Riboflavin (Vitamin B2)
5082178,, mcg , 60,,Vitamin B6
5082178,, mcg , 0.25,,Vitamin B12
5082178,, mcg , 1050,,Niacin
5082178,, mcg , 15,,Folic Acid (Folacin)
5082178,, mcg , 450,,Pantothenic Acid
5082178,, mcg , 4.4,,Biotin
5082178,, mg , 9,,Vitamin C (Ascorbic Acid)
5082178,, mg , 16,,Choline
5082178,, mg , 4.7,,Inositol
5082178,, IU , 300,,Vitamin A
5082178,, IU , 60,,Vitamin D
5697378,, IU , 75,,Vitamin D
5697378,, IU , 1.5,,Vitamin E
5697378,, mcg , 8,,Vitamin K
5697378,, mcg , 100,,Thiamin (Vitamin B1)
5697378,, mcg , 150,,Riboflavin (Vitamin B2)
5697378,, mcg , 60,,Vitamin B6
5697378,, mcg , 0.25,,Vitamin B12
5697378,, mcg , 1050,,Niacin
5697378,, mcg , 15,,Folic Acid (Folacin)
5697378,, mcg , 450,,Pantothenic Acid
5697378,, mcg , 4.4,,Biotin
5697378,, mg , 9,,Vitamin C (Ascorbic Acid)
5697378,, mg , 16,,Choline
5697378,, mg , 4.7,,Inositol
5697378,, IU , 300,,Vitamin A
51004,, % , 93.7,,Water
51004,, % , 10.0,,Dextrose
51004,,,,,Calories : 40
57231,, mcg , 5,25,Vitamin D
57231,,,,25,Vitamin A :
57231,,,,50,Vitamin C :
57231,,,,50,Vitamin E :
57231,,,,20,Vitamin K :
57231,,,,25,Thiamin :
57231,,,,25,Riboflavin :
57231,,,,35,Niacin :
57231,,,,25,Vitamin B6 :
57231,,,,25,Folate :
57231,,,,25,Vitamin B12 :
57231,,,,25,Biotin :
57231,,,,25,Pantothenic Acid :
57231,,,,25,Choline :
66899,, mcg , 14,70.0,Vitamin D
66899,,,,30.0,Vitamin A :
66899,,,,50.0,Vitamin C :
66899,,,,25.0,Vitamin E :
66899,,,,25.0,Vitamin K :
66899,,,,25.0,Thiamin :
66899,,,,25.0,Riboflavin :
66899,,,,50.0,Niacin :
66899,,,,25.0,Vitamin B6 :
66899,,,,25.0,Folate :
66899,, mcg , 60,,Folic Acid
66899,,,,25.0,Vitamin B12 :
66899,,,,25.0,Biotin :
66899,,,,25.0,Pantothenic Acid :
66899,,,,15.0,Choline :
66893,, mcg , 14,70.0,Vitamin D
66893,,,,30.0,Vitamin A :
66893,,,,50.0,Vitamin C :
66893,,,,25.0,Vitamin E :
66893,,,,25.0,Vitamin K :
66893,,,,25.0,Thiamin :
66893,,,,25.0,Riboflavin :
66893,,,,50.0,Niacin :
66893,,,,25.0,Vitamin B6 :
66893,,,,25.0,Folate :
66893,, mcg , 60,,Folic Acid
66893,,,,25.0,Vitamin B12 :
66893,,,,25.0,Biotin :
66893,,,,25.0,Pantothenic Acid :
66893,,,,15.0,Choline :
57237,, mcg , 5,25,Vitamin D
57237,,,,25,Vitamin A :
57237,,,,50,Vitamin C :
57237,,,,50,Vitamin E :
57237,,,,20,Vitamin K :
57237,,,,25,Thiamin :
57237,,,,25,Riboflavin :
57237,,,,35,Niacin :
57237,,,,25,Vitamin B6 :
57237,,,,25,Folate :
57237,,,,25,Vitamin B12 :
57237,,,,25,Biotin :
57237,,,,25,Pantothenic Acid :
57237,,,,25,Choline :
67281,, mcg , 14,70.0,Vitamin D
67281,,,,30.0,Vitamin A :
67281,,,,50.0,Vitamin C :
67281,,,,25.0,Vitamin E :
67281,,,,25.0,Vitamin K :
67281,,,,25.0,Thiamin :
67281,,,,25.0,Riboflavin :
67281,,,,50.0,Niacin :
67281,,,,25.0,Vitamin B6 :
67281,,,,25.0,Folate :
67281,, mcg , 60,,Folic Acid
67281,,,,25.0,Vitamin B12 :
67281,,,,25.0,Biotin :
67281,,,,25.0,Pantothenic Acid :
67281,,,,15.0,Choline :
67165,, mcg , 14,70.0,Vitamin D
67165,,,,30.0,Vitamin A :
67165,,,,50.0,Vitamin C :
67165,,,,25.0,Vitamin E :
67165,,,,25.0,Vitamin K :
67165,,,,25.0,Thiamin :
67165,,,,25.0,Riboflavin :
67165,,,,50.0,Niacin :
67165,,,,25.0,Vitamin B6 :
67165,,,,25.0,Folate :
67165,, mcg , 60,,Folic Acid
67165,,,,25.0,Vitamin B12 :
67165,,,,25.0,Biotin :
67165,,,,25.0,Pantothenic Acid :
67165,,,,15.0,Choline :
64903,, mcg , 4,20.0,Vitamin D
64903,,,,25.0,Vitamin A :
64903,,,,30.0,Vitamin C :
64903,,,,15.0,Vitamin E :
64903,,,,15.0,Vitamin K :
64903,,,,25.0,Thiamin :
64903,,,,25.0,Riboflavin :
64903,,,,25.0,Niacin :
64903,,,,25.0,Vitamin B6 :
64903,,,,25.0,Folate :
64903,, mcg , 60,,Folic Acid
64903,,,,25.0,Vitamin B12 :
64903,,,,15.0,Biotin :
64903,,,,15.0,Pantothenic Acid :
64900,, mcg , 4,20.0,Vitamin D
64900,,,,25.0,Vitamin A :
64900,,,,30.0,Vitamin C :
64900,,,,15.0,Vitamin E :
64900,,,,15.0,Vitamin K :
64900,,,,25.0,Thiamin :
64900,,,,25.0,Riboflavin :
64900,,,,25.0,Niacin :
64900,,,,25.0,Vitamin B6 :
64900,,,,25.0,Folate :
64900,, mcg , 60,,Folic Acid
64900,,,,25.0,Vitamin B12 :
64900,,,,15.0,Biotin :
64900,,,,15.0,Pantothenic Acid :
66910,, mcg , 5,25,Vitamin D
66910,,,,25,Vitamin A :
66910,,,,50,Vitamin C :
66910,,,,50,Vitamin E :
66910,,,,20,Vitamin K :
66910,,,,25,Thiamin :
66910,,,,25,Riboflavin :
66910,,,,35,Niacin :
66910,,,,25,Vitamin B6 :
66910,,,,25,Folate :
66910,,,,25,Vitamin B12 :
66910,,,,25,Biotin :
66910,,,,25,Pantothenic Acid :
66910,,,,25,Choline :
64117,, mcg , 8,40.0,Vitamin D
64117,,,,25.0,Vitamin A :
64117,,,,50.0,Vitamin C :
64117,,,,50.0,Vitamin E :
64117,,,,20.0,Vitamin K :
64117,,,,40.0,Thiamin :
64117,,,,40.0,Riboflavin :
64117,,,,60.0,Niacin :
64117,,,,40.0,Vitamin B6 :
64117,,,,40.0,Folate :
64117,, mcg , 96,,Folic Acid
64117,,,,40.0,Vitamin B12 :
64117,,,,40.0,Biotin :
64117,,,,40.0,Pantothenic Acid :
64117,,,,25.0,Choline :
64115,, mcg , 8,40.0,Vitamin D
64115,,,,25.0,Vitamin A :
64115,,,,50.0,Vitamin C :
64115,,,,50.0,Vitamin E :
64115,,,,20.0,Vitamin K :
64115,,,,40.0,Thiamin :
64115,,,,40.0,Riboflavin :
64115,,,,60.0,Niacin :
64115,,,,40.0,Vitamin B6 :
64115,,,,40.0,Folate :
64115,, mcg , 96,,Folic Acid
64115,,,,40.0,Vitamin B12 :
64115,,,,40.0,Biotin :
64115,,,,40.0,Pantothenic Acid :
64115,,,,25.0,Choline :
67330,, mcg , 8,40.0,Vitamin D
67330,,,,25.0,Vitamin A :
67330,,,,50.0,Vitamin C :
67330,,,,50.0,Vitamin E :
67330,,,,20.0,Vitamin K :
67330,,,,40.0,Thiamin :
67330,,,,40.0,Riboflavin :
67330,,,,60.0,Niacin :
67330,,,,40.0,Vitamin B6 :
67330,,,,40.0,Folate :
67330,, mcg , 96,,Folic Acid
67330,,,,40.0,Vitamin B12 :
67330,,,,40.0,Biotin :
67330,,,,40.0,Pantothenic Acid :
67330,,,,25.0,Choline :
66546,, mcg , 8,40.0,Vitamin D
66546,,,,25.0,Vitamin A :
66546,,,,50.0,Vitamin C :
66546,,,,50.0,Vitamin E :
66546,,,,20.0,Vitamin K :
66546,,,,40.0,Thiamin :
66546,,,,40.0,Riboflavin :
66546,,,,60.0,Niacin :
66546,,,,40.0,Vitamin B6 :
66546,,,,40.0,Folate :
66546,, mcg , 96,,Folic Acid
66546,,,,40.0,Vitamin B12 :
66546,,,,40.0,Biotin :
66546,,,,40.0,Pantothenic Acid :
66546,,,,25.0,Choline :
53809,, mcg , 8,40.0,Vitamin D
53809,,,,25.0,Vitamin A :
53809,,,,50.0,Vitamin C :
53809,,,,50.0,Vitamin E :
53809,,,,20.0,Vitamin K :
53809,,,,25.0,Thiamin :
53809,,,,25.0,Riboflavin :
53809,,,,40.0,Niacin :
53809,,,,25.0,Vitamin B6 :
53809,,,,25.0,Folate :
53809,, mcg , 60,,Folic Acid
53809,,,,25.0,Vitamin B12 :
53809,,,,25.0,Biotin :
53809,,,,25.0,Pantothenic Acid :
53809,,,,25.0,Choline :
57266,, mcg , 8,40.0,Vitamin D
57266,,,,25.0,Vitamin A :
57266,,,,50.0,Vitamin C :
57266,,,,50.0,Vitamin E :
57266,,,,20.0,Vitamin K :
57266,,,,25.0,Thiamin :
57266,,,,25.0,Riboflavin :
57266,,,,40.0,Niacin :
57266,,,,25.0,Vitamin B6 :
57266,,,,25.0,Folate :
57266,, mcg , 60,,Folic Acid
57266,,,,25.0,Vitamin B12 :
57266,,,,25.0,Biotin :
57266,,,,25.0,Pantothenic Acid :
57266,,,,25.0,Choline :
57269,, mcg , 8,40.0,Vitamin D
57269,,,,25.0,Vitamin A :
57269,,,,50.0,Vitamin C :
57269,,,,50.0,Vitamin E :
