,url,store,name,price,size_or_weight,availability,item_id,description,ingredients,allergin_info,serving_size_1,serving_size_2,serving_size_3,footnotes,nutrient_table_1,nutrient_table_2,nutrient_table_3,vitamin_table_1,vitamin_table_2,vitamin_table_3,mineral_table_1,mineral_table_2,mineral_table_3,Sizes,Form,Flavours,Case of X,Case of Y,clinical_indications,benefits,feature_table_rows,usage,entry_date,
0,https://abbottstore.com/pedialyte-unflavored-1-liter-bottle-case-of-8-00336.html,Abbott,Pedialyte,43.99,"1 L bottle
						 
						 
							/
						 
						 
							Case of 8",IN STOCK,336,"REPLACES ELECTROLYTES: A way forkids and adults to replace electrolytes to feel better fast.


MORE EFFECTIVE THAN COMMON BEVERAGES: Designed to replace fluids and electrolytes more effectively than sports drinks, Pedialyte provides an optimal balance of sugar and electrolytes to prevent mild to moderate dehydration. Its medical-grade hydration.


TRUSTED BRAND: #1 pediatrician* and pharmacist recommended brand.* For over 50 years, Pedialyte has been the go-to rehydration drink.


GREAT-TASTING FLAVORS: Enjoy Pedialyte liters, powder packs, and Freezer Pops in 17 refreshing flavors.


POUR & HYDRATE: Tastes best served chilled.To maintain proper hydration, 1-2 liters of Pedialyte may be needed per day.

Pedialyte electrolyte solution is an advanced rehydration drink specially formulated with an optimal balance of sugar and electrolytes to help prevent mild to moderate dehydration in both kids and adults. From the #1 pediatrician* and pharmacist recommended brand* for hydration, Pedialyte electrolyte drink is medical-grade hydration that quickly replenishes lost fluids and electrolytes. Pedialyte promotes fluid absorption more effectively than sports drinks, juice, or even water. Feel better fast with Pedialyte!
*Among pediatricians and pharmacists surveyed, respectively (2017). Data on file with manufacturer",,,,,,,,,,,,,,,,Case of 8,Liquid,"['Unflavored', 'Strawberry', 'Mixed Fruit', 'Bubble Gum', 'Grape', 'Coconut Burst']",,,,,,,6/05/2020 12:54,Unflavored
0,https://abbottstore.com/freezerpopsvariety-2-1-ozwrapper-caseof64-62605.html,Abbott,Pedialyte Freezer Pops,21.99,"2.1 oz packet
						 
						 
							/
						 
						 
							Case of 64",IN STOCK,62605,"A chilled/cool way to rehydrate
Quickly replaces fluids and electrolytes
Designed to prevent dehydration more effectively than household beverages like sports drinks, juice, and soda
Great for Kids & Adults!
Available in a variety of flavors (each box includes/contains: Grape, Blue Raspberry, Cherry, and Orange)

Pedialyte Freezer Pops are a cool/chilled way to quickly replenish lost fluids, and electrolytes to help prevent dehydration* and help you feel better fast. Just freeze and you're ready to rehydrate! Pedialyte freezer pops are an advanced hydration solution specially formulated with an optimal balance of sugar and electrolytes needed to help replenish vital fluids, and minerals, which, when lost, can lead to dehydration. Pedialyte can help prevent dehydration caused by vomiting, diarrhea, exercise, travel, and heat exhaustion.
*Mild to moderate dehydration","Grape (Water, Anhydrous Dextrose; Less than 2% of: Citric Acid, Salt, Cellulose Gum, Potassium Citrate, Potassium Sorbate (Preservative), Sodium Benzoate (Preservative), Natural & Artificial Flavor, Sucralose, Acesulfame Potassium, Red 40, Blue 1), Blue Raspberry (Water, Anhydrous Dextrose; Less than 2% of: Citric Acid, Salt, Cellulose Gum, Potassium Citrate, Potassium Sorbate (Preservative), Sodium Benzoate (Preservative), Natural & Artificial Flavor, Sucralose, Acesulfame Potassium, Blue 1), Cherry (Water, Anhydrous Dextrose; Less than 2% of: Citric Acid, Salt, Cellulose Gum, Potassium Citrate, Potassium Sorbate (Preservative), Sodium Benzoate (Preservative), Natural & Artificial Flavor, Sucralose, Acesulfame Potassium, Red 40), and Orange (Water, Anhydrous Dextrose; Less than 2% of: Citric Acid, Salt, Cellulose Gum, Potassium Citrate, Potassium Sorbate (Preservative), Sodium Benzoate (Preservative), Natural & Artificial Flavor, Sucralose, Acesulfame Potassium, Yellow 6, Red 40).",Serving Size: 125 mL (2 Pops),"* Not a significant source of saturated fat, trans fat, cholesterol, dietary fiber, vitamin D, calcium and iron. The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.",,,,,,,,,,,,,Case of 64,,,,,,,,,6/05/2020 12:54,Variety
0,https://abbottstore.com/pedialyte-grape-1-liter-bottle-case-of-8-00240.html,Abbott,Pedialyte,43.99,"1 L bottle
						 
						 
							/
						 
						 
							Case of 8",IN STOCK,240,"REPLACES ELECTROLYTES: A flavorful way for kids and adults to replace electrolytes to feel better fast.


MORE EFFECTIVE THAN COMMON BEVERAGES: Designed to replace fluids and electrolytes more effectively than sports drinks, Pedialyte provides an optimal balance of sugar and electrolytes to prevent mild to moderate dehydration. Its medical-grade hydration.


TRUSTED BRAND: #1 pediatrician* and pharmacist recommended brand.* For over 50 years, Pedialyte has been the go-to rehydration drink.


GREAT-TASTING FLAVORS: Enjoy Pedialyte liters, powder packs, and Freezer Pops in 17 refreshing flavors.


POUR & HYDRATE: Tastes best served chilled.To maintain proper hydration, 1-2 liters of Pedialyte may be needed per day.

Pedialyte electrolyte solution is an advanced rehydration drink specially formulated with an optimal balance of sugar and electrolytes to help prevent mild to moderate dehydration in both kids and adults. From the #1 pediatrician* and pharmacist recommended brand* for hydration, Pedialyte electrolyte drink is medical-grade hydration that quickly replenishes lost fluids and electrolytes. Pedialyte promotes fluid absorption more effectively than sports drinks, juice, or even water. Feel better fast with Pedialyte!
*Among pediatricians and pharmacists surveyed, respectively (2017). Data on file with manufacturer",,,,,,,,,,,,,,,,Case of 8,Liquid,"['Grape', 'Strawberry', 'Mixed Fruit', 'Unflavored', 'Bubble Gum', 'Coconut Burst']",,,,,,,6/05/2020 12:54,Grape
0,https://abbottstore.com/pedialyte-advancedcare-plus-powder-packs-orange-breeze-17g-stickpack-36-count-67426.html,Abbott,Pedialyte AdvancedCare Plus Powder Packs,71.94,"0.6 oz
						 
						 
							/
						 
						 
							6-6 Packs",IN STOCK,67426,"MORE ELECTROLYTES: Pedialyte AdvancedCarePlus powder packets have 33% more electrolytes* in every serving to replace more of what youve lost due to dehydration
CONVENIENT: Its easy to take powder packs anywherejust add to water. Great for kids and adults
PREBIOTICS: Has PreActivPrebiotics to help support digestive health
ADVANCED REHYDRATION: Pedialyte electrolyte solutions help prevent mild to moderate dehydration more effectively than common beverages by quickly replenishing fluids and electrolytes
RECOMMENDED: From the #1 pediatricianand pharmacist recommendedbrandfor hydration

Pedialyte AdvancedCare Plus Electrolyte Solution offers 33% more electrolytes* to help prevent dehydration and help you feel better fast. From the #1 pharmacist and pediatrician recommended brand for hydration, Pedialyte AdvancedCare Plus has PreActiv Prebiotics to help support digestive health and is designed to help prevent mild to moderate dehydrationin children and adults more effectively than common beverages.
*60 mEq sodium electrolytes per liter vs 45 mEq in original Pedialyte.
Among pediatricians and pharmacists surveyed, respectively (2019). Data on file withmanufacturer.","Anhydrous Dextrose, Short-chain Fructooligosaccharides, Citric Acid, Salt, Potassium Citrate, Sodium Citrate. Less than 2% of: Natural & Artificial Flavor, Calcium Silicate, Acesulfame Potassium, Sucralose, and Yellow 6.",Serving Size: 17 g (1 Packet),"* Not a significant source of saturated fat, trans fat, cholesterol, dietary fiber, vitamin D, calcium and iron. The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.",,,,,,,,,,,,,6-6 Packs,Powder Packs,"['Orange Breeze', 'Berry Frost', 'Strawberry Freeze', 'Variety - Berry Frost & Strawberry Freeze']",,,,,,,6/05/2020 12:54,Orange Breeze
0,https://abbottstore.com/pedialyte-advancedcare-plus-powder-packs-berry-frost-17g-stickpack-36-count-66969.html,Abbott,Pedialyte AdvancedCare Plus Powder Packs,71.94,"0.6 oz
						 
						 
							/
						 
						 
							6-6 Packs",IN STOCK,66969,"MORE ELECTROLYTES: Pedialyte AdvancedCarePlus powder packets have 33% more electrolytes* in every serving to replace more of what youve lost due to dehydration
CONVENIENT: Its easy to take powder packs anywherejust add to water. Great for kids and adults
PREBIOTICS: Has PreActivPrebiotics to help support digestive health
ADVANCED REHYDRATION: Pedialyte electrolyte solutions help prevent mild to moderate dehydration more effectively than common beverages by quickly replenishing fluids and electrolytes
RECOMMENDED: From the #1 pediatricianand pharmacist recommendedbrand for hydration

Pedialyte AdvancedCare Plus Electrolyte Solution offers 33% more electrolytes* to help prevent dehydration and help you feel better fast. From the #1 pharmacist and pediatrician recommended brand for hydration, Pedialyte AdvancedCare Plus has PreActiv Prebiotics to help support digestive health and is designed to help prevent mild to moderate dehydrationin children and adults more effectively than common beverages.
*60 mEq sodium electrolytes per liter vs 45 mEq in original Pedialyte.
Among pediatricians and pharmacists surveyed, respectively (2019). Data on file withmanufacturer.","Anhydrous Dextrose, Short-chain Fructooligosaccharides, Citric Acid, Salt, Potassium Citrate, Sodium Citrate, Natural & Artificial Flavor. Less than 2% of: Calcium Silicate, Acesulfame Potassium, Sucralose, and Blue 1.",Serving Size: 17 g (1 Packet),"* Not a significant source of saturated fat, trans fat, cholesterol, dietary fiber, vitamin D, calcium and iron. The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.",,,,,,,,,,,,,6-6 Packs,Powder Packs,"['Berry Frost', 'Strawberry Freeze', 'Orange Breeze', 'Variety - Berry Frost & Strawberry Freeze']",,,,,,,6/05/2020 12:54,Berry Frost
0,https://abbottstore.com/pedialyte-advancedcare-plus-powder-packs-strawberry-freeze-17g-stickpack-36-count-66972.html,Abbott,Pedialyte AdvancedCare Plus Powder Packs,71.94,"0.6 oz
						 
						 
							/
						 
						 
							6-6 Packs",IN STOCK,66972,"MORE ELECTROLYTES: Pedialyte AdvancedCarePlus powder packets have 33% more electrolytes* in every serving to replace more of what youve lost due to dehydration
CONVENIENT: Its easy to take powder packs anywherejust add to water. Great for kids and adults
PREBIOTICS: Has PreActiv Prebiotics to help support digestive health
ADVANCED REHYDRATION: Pedialyte electrolyte solutions help prevent mild to moderate dehydration more effectively than common beverages by quickly replenishing fluids and electrolytes
RECOMMENDED: From the #1 pediatricianand pharmacist recommendedbrandfor hydration

Pedialyte AdvancedCare Plus Electrolyte Solution offers 33% more electrolytes* to help prevent dehydration and help you feel better fast. From the #1 pharmacist and pediatrician recommendedbrandfor hydration, Pedialyte AdvancedCare Plus has PreActiv Prebiotics to help support digestive health and is designed to help prevent mild to moderate dehydrationin children and adults more effectively than common beverages.
*60 mEq sodium electrolytes per liter vs 45 mEq in original Pedialyte.
Among pediatricians and pharmacists surveyed, respectively (2019). Data on file withmanufacturer.","Anhydrous Dextrose, Short-chain Fructooligosaccharides, Citric Acid, Salt, Potassium Citrate, Sodium Citrate, Natural Flavor. Less than 2% of: Calcium Silicate, Acesulfame Potassium, Sucralose, Red 40, and Blue 1.",Serving Size: 17 g (1 Packet),"* Not a significant source of saturated fat, trans fat, cholesterol, dietary fiber, vitamin D, calcium and iron. The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.",,,,,,,,,,,,,6-6 Packs,Powder Packs,"['Strawberry Freeze', 'Berry Frost', 'Orange Breeze', 'Variety - Berry Frost & Strawberry Freeze']",,,,,,,6/05/2020 12:54,Strawberry Freeze
0,https://abbottstore.com/pedialyte-powder-packs-strawberry-lemonade-17g-stickpack-36-count-64172.html,Abbott,Pedialyte Powder Packs,67.99,"0.6 oz
						 
						 
							/
						 
						 
							(6) 6-packs",IN STOCK,64172,"CONVENIENT REHYDRATION FOR KIDS & ADULTS:A convenient powder packet that offers a great-tasting way for kids and adults to replace electrolytes to feel better fast


MORE EFFECTIVE THAN COMMON BEVERAGES:Designed to replace fluids and electrolytes more effectively than sports drinks, Pedialyte provides an optimal balance of sugar and electrolytes to prevent mild to moderate dehydration. Its medical-grade hydration


TRUSTED BRAND:#1 pediatrician*and pharmacist recommended brand* for hydration. For over 50 years, Pedialyte has been the go-to rehydration drink


GREAT-TASTING PEDIALYTE FLAVORS:Available in refreshing Grape, Cherry, Strawberry Lemonade, and Orange flavors. Each packet has only 50 calories, 12g carbohydrates, and0g of fat


HOW TO USE PEDIALYTE:Pour 1 packet into 16 fl oz of cold water and mix for refreshing hydration

Pedialyte Electrolyte Powder Packs are a convenient, advanced hydration solution thats specially formulated with an optimal balance of sugar and electrolytes to help prevent dehydration in both kids and adults. From the #1 pediatrician*and pharmacist recommendedbrand,*Pedialyte electrolyte drink is medical-grade hydration that quickly replenishes lost fluids and electrolytes. Pedialyte promotes fluid absorption more effectively than sports drinks, juice, or even water. Simply dissolve one packet in 16 fl oz of cold water and enjoy. Feel better fast with Pedialyte!
*Among pediatricians and pharmacists surveyed, respectively (2019). Data on file withmanufacturer.","Anhydrous Dextrose, Citric Acid, Potassium Citrate, Salt, Natural Flavors, Sodium Citrate. Less than 2% of: Calcium Silicate, Acesulfame Potassium, Sucralose, Red 40, and Blue 1.",Serving Size: 17 g (1 Packet),"* Not a significant source of saturated fat, trans fat, cholesterol, dietary fiber, vitamin D, calcium and iron. The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.",,,,,,,,,,,,,(6) 6-packs,Powder Packs,"['Strawberry Lemonade', 'Orange', 'Variety - Strawberry, Fruit Punch, Grape & Apple', 'Grape', 'Cherry', 'Variety - Cherry, Strawberry Lemonade, Orange & Grape']",,,,,,,6/05/2020 12:54,Strawberry Lemonade
0,https://abbottstore.com/pedialyte-powder-packs-orange-17g-stickpacks-36-count-64177.html,Abbott,Pedialyte Powder Packs,67.99,"0.6 oz
						 
						 
							/
						 
						 
							(6) 6-packs",IN STOCK,64177,"CONVENIENT REHYDRATION FOR KIDS & ADULTS:A convenient powder packet that offers a great-tasting way for kids and adults to replace electrolytes to feel better fast


MORE EFFECTIVE THAN COMMON BEVERAGES:Designed to replace fluids and electrolytes more effectively than sports drinks, Pedialyte provides an optimal balance of sugar and electrolytes to prevent mild to moderate dehydration. Its medical-grade hydration


TRUSTED BRAND:#1 pediatrician*and pharmacist recommended brand* for hydration. For over 50 years, Pedialyte has been the go-to rehydration drink


GREAT-TASTING PEDIALYTE FLAVORS:Available in refreshing Grape, Cherry, Strawberry Lemonade, and Orange flavors. Each packet has only 50 calories, 12g carbohydrates, and0g of fat


HOW TO USE PEDIALYTE:Pour 1 packet into 16 fl oz of cold water and mix for refreshing hydration

Pedialyte Electrolyte Powder Packs are a convenient, advanced hydration solution thats specially formulated with an optimal balance of sugar and electrolytes to help prevent dehydration in both kids and adults. From the #1 pediatrician*and pharmacist recommendedbrand,*Pedialyte electrolyte drink is medical-grade hydration that quickly replenishes lost fluids and electrolytes. Pedialyte promotes fluid absorption more effectively than sports drinks, juice, or even water. Simply dissolve one packet in 16 fl oz of cold water and enjoy. Feel better fast with Pedialyte!
*Among pediatricians and pharmacists surveyed, respectively (2019). Data on file withmanufacturer.","Anhydrous Dextrose, Citric Acid, Potassium Citrate, Salt, Sodium Citrate, Natural & Artificial Flavor. Less than 2% of: Calcium Silicate, Acesulfame Potassium, Sucralose, and Yellow 6.",Serving Size: 17 g (1 Packet),"* Not a significant source of saturated fat, trans fat, cholesterol, dietary fiber, vitamin D, calcium and iron. The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.",,,,,,,,,,,,,(6) 6-packs,Powder Packs,"['Orange', 'Strawberry Lemonade', 'Variety - Strawberry, Fruit Punch, Grape & Apple', 'Grape', 'Cherry', 'Variety - Cherry, Strawberry Lemonade, Orange & Grape']",,,,,,,6/05/2020 12:54,Orange
0,https://abbottstore.com/pedialyte-bubble-gum-1-liter-bottle-case-of-8-51752.html,Abbott,Pedialyte,43.99,"1 L bottle
						 
						 
							/
						 
						 
							Case of 8",IN STOCK,51752,"REPLACES ELECTROLYTES: A flavorful way for kids and adults to replace electrolytes to feel better fast.


MORE EFFECTIVE THAN COMMON BEVERAGES: Designed to replace fluids and electrolytes more effectively than sports drinks, Pedialyte provides an optimal balance of sugar and electrolytes to prevent mild to moderate dehydration. Its medical-grade hydration.


TRUSTED BRAND: #1 pediatrician* and pharmacist recommended brand.* For over 50 years, Pedialyte has been the go-to rehydration drink.


GREAT-TASTING FLAVORS: Enjoy Pedialyte liters, powder packs, and Freezer Pops in 17 refreshing flavors.


POUR & HYDRATE: Tastes best served chilled.To maintain proper hydration, 1-2 liters of Pedialyte may be needed per day.

Pedialyte electrolyte solution is an advanced rehydration drink specially formulated with an optimal balance of sugar and electrolytes to help prevent mild to moderate dehydration in both kids and adults. From the #1 pediatrician* and pharmacist recommended brand* for hydration, Pedialyte electrolyte drink is medical-grade hydration that quickly replenishes lost fluids and electrolytes. Pedialyte promotes fluid absorption more effectively than sports drinks, juice, or even water. Feel better fast with Pedialyte!
*Among pediatricians and pharmacists surveyed, respectively (2017). Data on file with manufacturer","Water, Dextrose. Less than 2% of: Citric Acid, Potassium Citrate, Salt, Sodium Citrate, Artificial Flavor, Sucralose, Acesulfame Potassium, Zinc Gluconate, and Red 40.",Serving Size: 12 fl oz (360 mL),"* Not a significant source of saturated fat, trans fat, cholesterol, dietary fiber, vitamin D, calcium and iron. The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.",,,Serving Size: 1 L (33.8 fl oz),,,,,,,,,,Case of 8,Liquid,"['Bubble Gum', 'Strawberry', 'Mixed Fruit', 'Unflavored', 'Grape', 'Coconut Burst']",,,,,,,6/05/2020 12:54,Bubble Gum
0,https://abbottstore.com/pedialyte-powder-packs-cherry-17g-stickpacks-36-count-64595.html,Abbott,Pedialyte Powder Packs,67.99,"0.6 oz
						 
						 
							/
						 
						 
							(6) 6-packs",IN STOCK,64595,"CONVENIENT REHYDRATION FOR KIDS & ADULTS:A convenient powder packet that offers a great-tasting way for kids and adults to replace electrolytes to feel better fast


MORE EFFECTIVE THAN COMMON BEVERAGES:Designed to replace fluids and electrolytes more effectively than sports drinks, Pedialyte provides an optimal balance of sugar and electrolytes to prevent mild to moderate dehydration. Its medical-grade hydration


TRUSTED BRAND:#1 pediatrician*and pharmacist recommended brand* for hydration. For over 50 years, Pedialyte has been the go-to rehydration drink


GREAT-TASTING PEDIALYTE FLAVORS:Available in refreshing Grape, Cherry, Strawberry Lemonade, and Orange flavors. Each packet has only 50 calories, 12g carbohydratesand0g of fat


HOW TO USE PEDIALYTE:Pour 1 packet into 16 fl oz of cold water and mix for refreshing hydration

Pedialyte Electrolyte Powder Packs are a convenient, advanced hydration solution thats specially formulated with an optimal balance of sugar and electrolytes to help prevent dehydration in both kids and adults. From the #1 pediatrician*and pharmacist recommended brand,*Pedialyte electrolyte drink is medical-grade hydration that quickly replenishes lost fluids and electrolytes. Pedialyte promotes fluid absorption more effectively than sports drinks, juice, or even water. Simply dissolve one packet in 16 fl oz of cold water and enjoy. Feel better fast with Pedialyte!
*Among pediatricians and pharmacists surveyed, respectively (2017). Data on file withmanufacturer","Anhydrous Dextrose, Citric Acid, Potassium Citrate, Salt, Sodium Citrate. Less than 2% of: Natural & Artificial Flavor, Calcium Silicate, Acesulfame Potassium, Sucralose, and Red 40.",Serving Size: 17 g (1 Packet),"* Not a significant source of saturated fat, trans fat, cholesterol, dietary fiber, vitamin D, calcium and iron. The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.",,,,,,,,,,,,,(6) 6-packs,Powder Packs,"['Cherry', 'Orange', 'Strawberry Lemonade', 'Variety - Strawberry, Fruit Punch, Grape & Apple', 'Grape', 'Variety - Strawberry']",,,,,,,6/05/2020 12:54,Cherry  (6) 6-packs
0,https://abbottstore.com/pedialyte-powder-packs-variety-pack-64-count-56090.html,Abbott,Pedialyte Powder Packs,71.99,"0.3 oz
						 
						 
							/
						 
						 
							(8) 8-packs",IN STOCK,56090,"CONVENIENT REHYDRATION FOR KIDS & ADULTS: A convenient powder packet that offers a great-tasting way for kids and adults to replace electrolytes to feel better fast


MORE EFFECTIVE THAN COMMON BEVERAGES: Designed to replace fluids and electrolytes more effectively than sports drinks, Pedialyte provides an optimal balance of sugar and electrolytes to prevent mild to moderate dehydration. Its medical-grade hydration


TRUSTED BRAND: #1 pediatrician*and pharmacist recommended brand* for hydration. For over 50 years, Pedialyte has been the go-to rehydration drink


HOW TO USE PEDIALYTE: Pour 1 packet into 8 fl oz of cold water and mix for refreshing hydration

Pedialyte Electrolyte Powder Packs are a convenient, advanced hydration solution thats specially formulated with an optimal balance of sugar and electrolytes to help prevent dehydration in both kids and adults. From the #1 pediatrician*and pharmacist recommended brand,*Pedialyte electrolyte drink is medical-grade hydration that quickly replenishes lost fluids and electrolytes. Pedialyte promotes fluid absorption more effectively than sports drinks, juice, or even water. Simply dissolve one packet in 8 fl oz of cold water and enjoy. Feel better fast with Pedialyte!
*Among pediatricians and pharmacists surveyed, respectively (2019). Data on file withmanufacturer.","Fruit Punch (Anhydrous Dextrose, Citric Acid, Malic Acid, Potassium Citrate, Salt, Sodium Citrate; Less than 2% of: Natural & Artificial Flavor, Calcium Silicate, Sucralose, Acesulfame Potassium, Red 40), Grape (Anhydrous Dextrose, Citric Acid, Malic Acid, Potassium Citrate, Salt, Sodium Citrate; Less than 2% of: Natural & Artificial Flavor, Calcium Silicate, Sucralose, Acesulfame Potassium, Red 40, Blue 1), Apple (Anhydrous Dextrose, Citric Acid, Malic Acid, Potassium Citrate, Salt, Sodium Citrate; Less than 2% of: Artificial Flavor, Calcium Silicate, Caramel Color, Sucralose, Acesulfame Potassium), and Strawberry (Anhydrous Dextrose, Citric Acid, Malic Acid, Potassium Citrate, Salt, Sodium Citrate, Natural Flavor; Less than 2% of: Calcium Silicate, Sucralose, Acesulfame Potassium, Red 40, Blue 1).",Serving Size: 9 g,"* Not a significant source of saturated fat, trans fat, cholesterol, dietary fiber, vitamin D, calcium and iron. The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.",,,,,,,,,,,,,(8) 8-packs,Powder Packs,"['Variety - Strawberry, Fruit Punch, Grape & Apple', 'Orange', 'Strawberry Lemonade', 'Grape', 'Cherry', 'Variety - Cherry, Strawberry Lemonade, Orange & Grape']",,,,,,,6/05/2020 12:54,Variety
0,https://abbottstore.com/pedialyte-advancedcare-tropical-fruit-1-liter-bottle-64307e.html,Abbott,Pedialyte AdvancedCare,5.49,,IN STOCK, 64307e,"DIGESTION SUPPORT: HasPreActivPrebiotics to help support digestive health.


REPLACES ELECTROLYTES:A flavorful way for kids and adults to replace electrolytes to feel better fast.


MORE EFFECTIVE THAN COMMON BEVERAGES:Designed to replace fluids and electrolytes more effectively than sports drinks, Pedialyte provides an optimal balance of sugar and electrolytes to prevent mild to moderate dehydration. Its medical-grade hydration.


TRUSTED BRAND:#1 pediatrician*and pharmacist recommended brand.*For over 50 years, Pedialyte has been the go-to rehydration drink.


GREAT-TASTING FLAVORS:Enjoy Pedialyte liters, powder packs, and Freezer Pops in 18 refreshing flavors.

Pedialyte AdvancedCare electrolyte solution is an advanced rehydration drink specially formulated with an optimal balance of sugar and electrolytes to help prevent mild to moderate dehydration in both kids and adults. It also has PreActiv Prebiotics to help promote digestive health by restoring the balance between good and bad bacteria. From the #1 pediatrician*and pharmacist recommended brand* for hydration, Pedialyte AdvancedCare is an electrolyte drink that promotes fluid absorption more effectively than sports drinks, juice, or even water. Feel better fast with Pedialyte!
*Among pediatricians and pharmacists surveyed, respectively (2019). Data on file withmanufacturer.","Water, Dextrose. Less than 1.0% of: Galactooligosaccharides, Citric Acid, Potassium Citrate, Salt, Sodium Citrate, Natural & Artificial Flavor, Sucralose, Acesulfame Potassium, Zinc Gluconate, and Yellow 6.",Contains milk ingredients.,Serving Size: 12 fl oz (360 mL),,,"* Not a significant source of saturated fat, trans fat, cholesterol, dietary fiber, vitamin D, calcium and iron. The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.",,,,,,,,,,,Liquid,"['Tropical Fruit', 'Blue Raspberry', 'Cherry Punch', 'Strawberry Lemonade']",,,,,,,6/05/2020 12:54,Tropical Fruit
0,https://abbottstore.com/pedialyte-unflavored-2-fl-oz-bottle-4-pack-59892p4.html,Abbott,Pedialyte,4.17,2 fl oz bottle,IN STOCK, 59892p4,"REPLACES ELECTROLYTES:A way forkids and adults to replace electrolytes to feel better fast.


MORE EFFECTIVE THAN COMMON BEVERAGES:Designed to replace fluids and electrolytes more effectively than sports drinks, Pedialyteprovides an optimal balance of sugar and electrolytes to prevent mild to moderate dehydration. Its medical-grade hydration.


TRUSTED BRAND:#1 pediatrician*and pharmacist recommended brand.*For over 50 years, Pedialyte has been the go-to rehydration drink.


GREAT-TASTING FLAVORS:Enjoy Pedialyte liters, powder packs, and Freezer Pops in 18 refreshing flavors.


POUR & HYDRATE:Tastes best served chilled.To maintain proper hydration, 1-2 liters of Pedialyte may be needed per day.

Pedialyte electrolyte solution is an advanced rehydration drink specially formulated with an optimal balance of sugar and electrolytes to help prevent mild to moderate dehydration in both kids and adults. From the #1 pediatrician*and pharmacist recommended brand* for hydration, Pedialyte electrolyte drink is medical-grade hydration that quickly replenishes lost fluids and electrolytes. Pedialyte promotes fluid absorption more effectively than sports drinks, juice, or even water. Feel better fast with Pedialyte!
*Among pediatricians and pharmacists surveyed, respectively (2019). Data on file with manufacturer.

SKU # 59892p4","Water, Dextrose. Less than 2% of: Potassium Citrate, Salt, Sodium Citrate, Citric Acid, and Zinc Gluconate.",Serving Size: 12 fl oz (360 mL),"* Not a significant source of saturated fat, trans fat, cholesterol, dietary fiber, vitamin D, calcium and iron. The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.",,,Serving Size: 1 L (33.8 fl oz),,,,,,,,,,,Liquid,"['Unflavored', 'Strawberry', 'Mixed Fruit', 'Bubble Gum', 'Grape', 'Coconut Burst']",,,,,,,6/05/2020 12:54,Unflavored
