,url,store,name,price,item_id,description,allergin_info,Form,entry_date,product_format,product_measurement_metric,product_measurement_numeric,bulk_sales_type,bulk_sales_numeric,serving_size_metric,serving_size_numeric
79,https://abbottstore.com/similac-orthodontic-nipple-and-ring-case-of-250-50512.html,Abbott,Similac Orthodontic Nipple and Ring,173,50512,"For newborn infants, to stimulate oral exercise while feeding. Contains Latex.
Features:
 Nipples and rings individually prepackaged and ready for use.
 Nipples and rings form a seal to prevent leakage during feeding.
 Disposable  not for reuse.
 Easy to use.
Precautions:
 DO NOT use as a pacifier, as it presents a choking hazard.
 DO NOT reuse, as reuse can cause deterioration or separation of the rubber, presenting a choking hazard.
 Keep out of reach of children",,,6/05/2020 12:54,,,,,,,
395,https://abbottstore.com/similac-orthodontic-nipple-and-ring-case-of-250-50512.html,Abbott,Similac Orthodontic Nipple and Ring,173,50512,"For newborn infants, to stimulate oral exercise while feeding. Contains Latex.
Features:
 Nipples and rings individually prepackaged and ready for use.
 Nipples and rings form a seal to prevent leakage during feeding.
 Disposable  not for reuse.
 Easy to use.
Precautions:
 DO NOT use as a pacifier, as it presents a choking hazard.
 DO NOT reuse, as reuse can cause deterioration or separation of the rubber, presenting a choking hazard.
 Keep out of reach of children",,,6/05/2020 14:30,,,,,,,
39,https://abbottstore.com/similac-5-percent-glucose-water-2-fl-oz-bottle-case-of-48-51002.html,Abbott,Similac 5% Glucose Water,96.99,51002,For initial or supplemental feeding as directed by physician. For oral use only. Do not store at extreme temperatures.,Serving Size: 1 fl oz (30 mL),,6/05/2020 12:54,bottle,fl oz,2,Case,48,mL,100
354,https://abbottstore.com/similac-5-percent-glucose-water-2-fl-oz-bottle-case-of-48-51002.html,Abbott,Similac 5% Glucose Water,96.99,51002,For initial or supplemental feeding as directed by physician. For oral use only. Do not store at extreme temperatures.,Serving Size: 1 fl oz (30 mL),,6/05/2020 14:30,bottle,fl oz,2,Case,48,,
105,https://abbottstore.com/similac-10-percent-glucose-water-2-fl-oz-bottle-case-of-48-51004.html,Abbott,Similac 10% Glucose Water,115.99,51004,For initial or supplemental feeding as directed by physician. For oral use only. Do not store at extreme temperatures.,Serving Size: 1 fl oz (30 mL),,6/05/2020 12:54,bottle,fl oz,2,Case,48,mL,100
422,https://abbottstore.com/similac-10-percent-glucose-water-2-fl-oz-bottle-case-of-48-51004.html,Abbott,Similac 10% Glucose Water,115.99,51004,For initial or supplemental feeding as directed by physician. For oral use only. Do not store at extreme temperatures.,Serving Size: 1 fl oz (30 mL),,6/05/2020 14:30,bottle,fl oz,2,Case,48,,
220,https://abbottstore.com/pedialyte-bubble-gum-1-liter-bottle-case-of-8-51752.html,Abbott,Pedialyte,43.99,51752,"REPLACES ELECTROLYTES: A flavorful way for kids and adults to replace electrolytes to feel better fast.


MORE EFFECTIVE THAN COMMON BEVERAGES: Designed to replace fluids and electrolytes more effectively than sports drinks, Pedialyte provides an optimal balance of sugar and electrolytes to prevent mild to moderate dehydration. Its medical-grade hydration.


TRUSTED BRAND: #1 pediatrician* and pharmacist recommended brand.* For over 50 years, Pedialyte has been the go-to rehydration drink.


GREAT-TASTING FLAVORS: Enjoy Pedialyte liters, powder packs, and Freezer Pops in 17 refreshing flavors.


POUR & HYDRATE: Tastes best served chilled.To maintain proper hydration, 1-2 liters of Pedialyte may be needed per day.

Pedialyte electrolyte solution is an advanced rehydration drink specially formulated with an optimal balance of sugar and electrolytes to help prevent mild to moderate dehydration in both kids and adults. From the #1 pediatrician* and pharmacist recommended brand* for hydration, Pedialyte electrolyte drink is medical-grade hydration that quickly replenishes lost fluids and electrolytes. Pedialyte promotes fluid absorption more effectively than sports drinks, juice, or even water. Feel better fast with Pedialyte!
*Among pediatricians and pharmacists surveyed, respectively (2017). Data on file with manufacturer",Serving Size: 12 fl oz (360 mL),Liquid,6/05/2020 12:54,bottle,L,1,Case,8,Not,*
541,https://abbottstore.com/pedialyte-bubble-gum-1-liter-bottle-case-of-8-51752.html,Abbott,Pedialyte,43.99,51752,"REPLACES ELECTROLYTES: A flavorful way for kids and adults to replace electrolytes to feel better fast.


MORE EFFECTIVE THAN COMMON BEVERAGES: Designed to replace fluids and electrolytes more effectively than sports drinks, Pedialyte provides an optimal balance of sugar and electrolytes to prevent mild to moderate dehydration. Its medical-grade hydration.


TRUSTED BRAND: #1 pediatrician* and pharmacist recommended brand.* For over 50 years, Pedialyte has been the go-to rehydration drink.


GREAT-TASTING FLAVORS: Enjoy Pedialyte liters, powder packs, and Freezer Pops in 17 refreshing flavors.


POUR & HYDRATE: Tastes best served chilled.To maintain proper hydration, 1-2 liters of Pedialyte may be needed per day.

Pedialyte electrolyte solution is an advanced rehydration drink specially formulated with an optimal balance of sugar and electrolytes to help prevent mild to moderate dehydration in both kids and adults. From the #1 pediatrician* and pharmacist recommended brand* for hydration, Pedialyte electrolyte drink is medical-grade hydration that quickly replenishes lost fluids and electrolytes. Pedialyte promotes fluid absorption more effectively than sports drinks, juice, or even water. Feel better fast with Pedialyte!
*Among pediatricians and pharmacists surveyed, respectively (2017). Data on file with manufacturer",Serving Size: 12 fl oz (360 mL),Liquid,6/05/2020 14:30,bottle,L,1,Case,8,L,1
91,https://abbottstore.com/breast-milk-storage-bottles-and-caps-4-fl-oz-bottle-case-of-144-51950.html,Abbott,Similac Breast Milk Storage Bottles and Caps,136.99,51950,Individually packed (polypropylene) plastic bottle and cap for use when storing breast milk.,,,6/05/2020 12:54,bottle,fl oz,4,Case,144,,
406,https://abbottstore.com/breast-milk-storage-bottles-and-caps-4-fl-oz-bottle-case-of-144-51950.html,Abbott,Similac Breast Milk Storage Bottles and Caps,136.99,51950,Individually packed (polypropylene) plastic bottle and cap for use when storing breast milk.,,,6/05/2020 14:30,bottle,fl oz,4,Case,144,,
100,https://abbottstore.com/similac-advance-powder-1-45-lb-simplepac-case-of-6-53359.html,Abbott,Similac Advance Infant Formula Powder,172.49,53359,"Similac Advance is designed to support your babys developing brain, eyes, immune system and to help build strong bones.
 From Birth - 12 months
 Complete nutrition for your babys first year
 Features OptiGRO, our exclusive blend of DHA, Lutein, and Vitamin E",Contains milk and soy ingredients.,Powder,6/05/2020 12:54,container,lb,1.45,Case,6,Cal,100
418,https://abbottstore.com/similac-advance-powder-1-45-lb-simplepac-case-of-6-53359.html,Abbott,Similac Advance Infant Formula Powder,172.49,53359,"Similac Advance is designed to support your babys developing brain, eyes, immune system and to help build strong bones.
 From Birth - 12 months
 Complete nutrition for your babys first year
 Features OptiGRO, our exclusive blend of DHA, Lutein, and Vitamin E",Contains milk and soy ingredients.,Powder,6/05/2020 14:30,container,lb,1.45,Case,6,mL,1000
104,https://abbottstore.com/similac-advance-ready-to-feed-1-qt-bottle-case-of-6-53363.html,Abbott,Similac Advance Infant Formula Ready-to-Feed,45.99,53363,"Similac Advance is designed to support your babys developing brain, eyes, immune system and to help build strong bones.
 From Birth - 12 months
 Complete nutrition for your babys first year
 Features OptiGRO, our exclusive blend of DHA Lutein, and Vitamin E",Contains milk and soy ingredients.,Ready-to-Feed,6/05/2020 12:54,bottle,QT,1,Case,6,Cal,100
423,https://abbottstore.com/similac-advance-ready-to-feed-1-qt-bottle-case-of-6-53363.html,Abbott,Similac Advance Infant Formula Ready-to-Feed,45.99,53363,"Similac Advance is designed to support your babys developing brain, eyes, immune system and to help build strong bones.
 From Birth - 12 months
 Complete nutrition for your babys first year
 Features OptiGRO, our exclusive blend of DHA Lutein, and Vitamin E",Contains milk and soy ingredients.,Ready-to-Feed,6/05/2020 14:30,bottle,QT,1,Case,6,mL,1000
76,https://abbottstore.com/similac-premature-infant-nipple-and-ring-case-of-50-53557.html,Abbott,Similac Premature Nipple and Ring,48.99,53557,"For preterm infants with less developed sucking strength. Latex-free.
 Features:
 Nipples and rings individually prepackaged and ready for use.
 Nipples and rings form a seal to prevent leakage during feeding.
 Disposablenot for reuse.
 Easy to use.
Precautions:
 DO NOT use as a pacifier, as it presents a choking hazard.
 DO NOT reuse, as reuse can cause deterioration or separation of the rubber, presenting a choking hazard.
 Keep out of reach of children.",,,6/05/2020 12:54,,,,,,,
397,https://abbottstore.com/similac-premature-infant-nipple-and-ring-case-of-50-53557.html,Abbott,Similac Premature Nipple and Ring,48.99,53557,"For preterm infants with less developed sucking strength. Latex-free.
 Features:
 Nipples and rings individually prepackaged and ready for use.
 Nipples and rings form a seal to prevent leakage during feeding.
 Disposablenot for reuse.
 Easy to use.
Precautions:
 DO NOT use as a pacifier, as it presents a choking hazard.
 DO NOT reuse, as reuse can cause deterioration or separation of the rubber, presenting a choking hazard.
 Keep out of reach of children.",,,6/05/2020 14:30,,,,,,,
78,https://abbottstore.com/similac-orthodontic-nipple-and-ring-case-of-50-53560.html,Abbott,Similac Orthodontic Nipple and Ring,54.25,53560,"For newborn infants, to stimulate oral exercise while feeding. Contains Latex.
Features:
 Nipples and rings individually prepackaged and ready for use.
 Nipples and rings form a seal to prevent leakage during feeding.
 Disposable  not for reuse.
 Easy to use.
Precautions:
 DO NOT use as a pacifier, as it presents a choking hazard.
 DO NOT reuse, as reuse can cause deterioration or separation of the rubber, presenting a choking hazard.
 Keep out of reach of children",,,6/05/2020 12:54,,,,,,,
396,https://abbottstore.com/similac-orthodontic-nipple-and-ring-case-of-50-53560.html,Abbott,Similac Orthodontic Nipple and Ring,54.25,53560,"For newborn infants, to stimulate oral exercise while feeding. Contains Latex.
Features:
 Nipples and rings individually prepackaged and ready for use.
 Nipples and rings form a seal to prevent leakage during feeding.
 Disposable  not for reuse.
 Easy to use.
Precautions:
 DO NOT use as a pacifier, as it presents a choking hazard.
 DO NOT reuse, as reuse can cause deterioration or separation of the rubber, presenting a choking hazard.
 Keep out of reach of children",,,6/05/2020 14:30,,,,,,,
90,https://abbottstore.com/cooler-insert-with-2-freezable-ice-packs-53568.html,Abbott,Cooler Insert with 2 Freezable Ice Packs,9,53568,Insulated cooler insert with 2 re-freezable ice packs.,,,6/05/2020 12:54,,,,,,,
408,https://abbottstore.com/cooler-insert-with-2-freezable-ice-packs-53568.html,Abbott,Cooler Insert with 2 Freezable Ice Packs,9,53568,Insulated cooler insert with 2 re-freezable ice packs.,,,6/05/2020 14:30,,,,,,,
92,https://abbottstore.com/similac-breast-milk-storage-bottle-caps-combo-4-fl-oz-case-of-12-53572.html,Abbott,Similac Breast Milk Storage Bottles and Caps,17.99,53572,Individually packed (polypropylene) plastic bottle and cap for use when storing breast milk.,,,6/05/2020 12:54,bottle,fl oz,4,Case,12,,
411,https://abbottstore.com/similac-breast-milk-storage-bottle-caps-combo-4-fl-oz-case-of-12-53572.html,Abbott,Similac Breast Milk Storage Bottles and Caps,17.99,53572,Individually packed (polypropylene) plastic bottle and cap for use when storing breast milk.,,,6/05/2020 14:30,bottle,fl oz,4,Case,12,,
115,https://abbottstore.com/ensure-original-nutrition-shake-dark-choc-8-fl-oz-case-of-24-53806.html,Abbott,Ensure Original Nutrition Shake,35.96,53806,"STRENGTH & ENERGY:Nutrition scientifically designed for Strength & Energy
COMPLETE NUTRITION: Each Ensure Original Shake has 220 calories and 9 grams of protein to provide you with complete nutrition at less than $2 per serving
GREAT TASTE: A great tasting way to get protein and antioxidants (Vitamins C, E & Selenium) every day
Gluten-free and suitable for lactose intolerance (Not for people with galactosemia)
DAILY USE: Drink 1-2 shakes daily for strength and energy

From the #1 doctor recommended brand, Ensure Original Nutrition Shakes provide complete and balanced nutrition to help you stay healthy, active and energetic.",Contains milk and soy ingredients.,Nutrition Shake,6/05/2020 12:54,bottle,fl oz,8,Case,24,fl,8
433,https://abbottstore.com/ensure-original-nutrition-shake-dark-choc-8-fl-oz-case-of-24-53806.html,Abbott,Ensure Original Nutrition Shake,35.96,53806,"STRENGTH & ENERGY:Nutrition scientifically designed for Strength & Energy
COMPLETE NUTRITION: Each Ensure Original Shake has 220 calories and 9 grams of protein to provide you with complete nutrition at less than $2 per serving
GREAT TASTE: A great tasting way to get protein and antioxidants (Vitamins C, E & Selenium) every day
Gluten-free and suitable for lactose intolerance (Not for people with galactosemia)
DAILY USE: Drink 1-2 shakes daily for strength and energy

From the #1 doctor recommended brand, Ensure Original Nutrition Shakes provide complete and balanced nutrition to help you stay healthy, active and energetic.",Contains milk and soy ingredients.,Nutrition Shake,6/05/2020 14:30,bottle,fl oz,8,Case,24,Percent,*
127,https://abbottstore.com/ensure-plus-shake-dark-chocolate-8-fl-oz-bottle-case-of-24-53809.html,Abbott,Ensure Plus Nutrition Shake,43.96,53809,"STRENGTH & ENERGY:Nutrition scientifically designed for Strength & Energy
COMPLETE NUTRITION: Each Ensure Plus Shake provides 350 calories and 13 grams of protein and 27 vitamins and minerals to provide you with complete nutrition
GREAT TASTE: A great tasting way to get protein and antioxidants (Vitamins C, E, & Selenium) every day
Suitable for lactose intolerance and gluten-free. (Not for people with galactosemia)
DAILY USE: Drink 1-2 shakes daily to gain and maintain a healthy weight.

From the #1 doctor recommended brand, Ensure Plus Nutrition Shakes provide complete balanced nutrition to help you gain and maintain a healthy weight. Each shake has 13 grams of protein and 27 essential vitamins and minerals.",Contains milk and soy ingredients.,Nutrition Shake,6/05/2020 12:54,bottle,fl oz,8,Case,24,fl,8
442,https://abbottstore.com/ensure-plus-shake-dark-chocolate-8-fl-oz-bottle-case-of-24-53809.html,Abbott,Ensure Plus Nutrition Shake,43.96,53809,"STRENGTH & ENERGY:Nutrition scientifically designed for Strength & Energy
COMPLETE NUTRITION: Each Ensure Plus Shake provides 350 calories and 13 grams of protein and 27 vitamins and minerals to provide you with complete nutrition
GREAT TASTE: A great tasting way to get protein and antioxidants (Vitamins C, E, & Selenium) every day
Suitable for lactose intolerance and gluten-free. (Not for people with galactosemia)
DAILY USE: Drink 1-2 shakes daily to gain and maintain a healthy weight.

From the #1 doctor recommended brand, Ensure Plus Nutrition Shakes provide complete balanced nutrition to help you gain and maintain a healthy weight. Each shake has 13 grams of protein and 27 essential vitamins and minerals.",Contains milk and soy ingredients.,Nutrition Shake,6/05/2020 14:30,bottle,fl oz,8,Case,24,Percent,*
154,https://abbottstore.com/pediasure-berry-8-fl-oz-bottle-case-of-24-53818.html,Abbott,PediaSure Grow & Gain Shake,45.99,53818,"CLINICALLY PROVEN* GROWTH: Helps kids catch up on growth in just 8 weeks!
COMPLETE, BALANCED NUTRITION: 7g of protein, 32mg of DHA omega-3, antioxidants,and 27 essential vitamins & minerals
MOST RECOMMENDED: #1 pediatrician recommended brand
6 GREAT-TASTING FLAVORS: Vanilla, Chocolate, Strawberry, Banana, Berry, and Smores 
MOMS NUTRITION CHOICE: Gluten-free, kosher, halal, with no artificial growth hormones; suitable for lactose intolerance||

PediaSure nutrition shakes for kids are clinically proven* to help kids grow. Were the #1 pediatrician recommended brand. Each shake has 7g of protein to help build muscles, 32mg of DHA omega-3 for brain & eye development, antioxidants (vitamins C & E and selenium) for immune support, and 27 essential vitamins & minerals. Available in 6 great flavors: Vanilla, Chocolate, Strawberry, Banana, Berry, and Smores. PediaSure Grow & Gain is gluten-free, kosher, halal, and suitable for lactose intolerance.||Use as a snack or add to your favorite healthy recipes for your kids.
* Studied in children at risk for malnutrition.
 In children ages 3-4 at nutritional risk (5th-25th weight-for-height percentiles), when given 2 servings per day and dietary counseling.
 Vitamins C & E and selenium.
 No significant difference has been shown between milk derived from rbST-treated and non-rbST-treated cows.
|| Not for children with galactosemia.",Contains milk and soy ingredients.,Shake,6/05/2020 12:54,bottle,fl oz,8,Case,24,fl,8
471,https://abbottstore.com/pediasure-berry-8-fl-oz-bottle-case-of-24-53818.html,Abbott,PediaSure Grow & Gain Shake,45.99,53818,"CLINICALLY PROVEN* GROWTH: Helps kids catch up on growth in just 8 weeks!
COMPLETE, BALANCED NUTRITION: 7g of protein, 32mg of DHA omega-3, antioxidants,and 27 essential vitamins & minerals
MOST RECOMMENDED: #1 pediatrician recommended brand
6 GREAT-TASTING FLAVORS: Vanilla, Chocolate, Strawberry, Banana, Berry, and Smores 
MOMS NUTRITION CHOICE: Gluten-free, kosher, halal, with no artificial growth hormones; suitable for lactose intolerance||

PediaSure nutrition shakes for kids are clinically proven* to help kids grow. Were the #1 pediatrician recommended brand. Each shake has 7g of protein to help build muscles, 32mg of DHA omega-3 for brain & eye development, antioxidants (vitamins C & E and selenium) for immune support, and 27 essential vitamins & minerals. Available in 6 great flavors: Vanilla, Chocolate, Strawberry, Banana, Berry, and Smores. PediaSure Grow & Gain is gluten-free, kosher, halal, and suitable for lactose intolerance.||Use as a snack or add to your favorite healthy recipes for your kids.
* Studied in children at risk for malnutrition.
 In children ages 3-4 at nutritional risk (5th-25th weight-for-height percentiles), when given 2 servings per day and dietary counseling.
 Vitamins C & E and selenium.
 No significant difference has been shown between milk derived from rbST-treated and non-rbST-treated cows.
|| Not for children with galactosemia.",Contains milk and soy ingredients.,Shake,6/05/2020 14:30,bottle,fl oz,8,Case,24,The,*
61,https://abbottstore.com/similac-slow-flow-nipple-case-of-250-53894.html,Abbott,Similac Slow Flow Nipple and Ring,173,53894,"To support the underdeveloped suck-swallow-breathe coordination of preterm infants. Provides a more controlled flow rate vs faster-flow nipples for increased physiological stability and a more efficient sucking pattern.1Latex-free.
Features
 Nipples and rings individually prepackaged and ready for use.
 Nipples and rings form a seal to prevent leakage during feeding.
 Disposable  not for reuse.
 Easy to use.
Precautions
 DO NOT use as a pacifier, as it presents a choking hazard.
 DO NOT reuse, as reuse can cause deterioration or separation of the rubber, presenting a choking hazard.
 Keep out of reach of children.

1Chang YJ, et al. J Nurs Res 2007;150(3):215-223",,,6/05/2020 12:54,,,,,,,
